t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 2021-06-16T11:45:47.8125430+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.12, 2021-06-16T11:45:48.9119620+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.22, 2021-06-16T11:45:49.1141900+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.313209, 2021-06-16T11:45:49.2073600+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3181817, 2021-06-16T11:45:49.2122130+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3217984, 2021-06-16T11:45:49.2158260+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3257048, 2021-06-16T11:45:49.2196890+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3300136, 2021-06-16T11:45:49.2240010+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3340601, 2021-06-16T11:45:49.2280590+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3378473, 2021-06-16T11:45:49.2318630+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3432028, 2021-06-16T11:45:49.2373320+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3479591, 2021-06-16T11:45:49.2419660+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.354145, 2021-06-16T11:45:49.2481420+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3589978, 2021-06-16T11:45:49.2560690+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3657739, 2021-06-16T11:45:49.2629340+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3741091, 2021-06-16T11:45:49.2680960+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3785077, 2021-06-16T11:45:49.2724950+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3818615, 2021-06-16T11:45:49.2758740+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3869449, 2021-06-16T11:45:49.2809630+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3940283, 2021-06-16T11:45:49.2880500+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3985893, 2021-06-16T11:45:49.2926250+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4036908, 2021-06-16T11:45:49.2977180+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4105959, 2021-06-16T11:45:49.3045810+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4137882, 2021-06-16T11:45:49.3077830+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4213074, 2021-06-16T11:45:49.3153610+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4302109, 2021-06-16T11:45:49.3241990+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4340506, 2021-06-16T11:45:49.3280520+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4379624, 2021-06-16T11:45:49.3319700+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4435575, 2021-06-16T11:45:49.3376230+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
