t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x -0.8134851, y -9.626098, z 49.05789, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x -0.8133456, y -9.668912, z 49.04947, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.32, x -0.7215446, y -11.5874, z 48.63344, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3828155, x -0.6775193, y -12.05375, z 48.52059, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4370529, x -0.5025436, y -14.03334, z 47.98763, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4896522, x -0.5024152, y -14.07521, z 47.97537, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5458562, x -0.4600742, y -14.2426, z 47.92637, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6108379, x -0.4599547, y -14.28442, z 47.91392, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6916358, x -0.4598349, y -14.32623, z 47.90144, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7769549, x -0.4594733, y -14.45159, z 47.86377, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8585123, x -0.3323531, y -15.28476, z 47.60531, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9314053, x -0.2892215, y -16.07197, z 47.34562, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.015224, x -0.2467818, y -16.69034, z 47.13143, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.083801, x -0.1632654, y -17.67374, z 46.77192, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.147722, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.247722, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.322361, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.385846, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.44143, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.504964, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.583696, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.626234, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.663364, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.669884, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.6779, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.686105, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.693908, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.715725, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.728489, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.754254, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.77452, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.87452, x -0.163049, y -17.8369, z 46.70994, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
