t 0.02, x 18.26352, y 0, z 9.848078, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5405066, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5444065, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5484306, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5522844, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5565668, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5604466, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5643147, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5686329, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5724685, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5765269, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5802503, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5845373, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5883163, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5924566, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5964873, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6002665, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6043236, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6085297, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6125448, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6164506, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6202443, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6244311, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.62839, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6322458, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6364406, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6405002, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6442416, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6483777, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6523792, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6564263, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.660496, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6643755, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6684242, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
