t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
480.1523, 0, 0, 75, 1, 1, 1, False
480.1808, 0, 0, 75, 1, 1, 1, False
480.2588, 0, 0, 75, 1, 1, 1, False
480.2795, 0, 0, 75, 1, 1, 1, False
480.311, 0, 0, 75, 1, 1, 1, False
480.3376, 0, 0, 75, 1, 1, 1, False
480.3662, 0, 0, 75, 1, 1, 1, False
480.4662, 0, 0, 75, 1, 1, 1, False
480.4906, 0, 0, 75, 1, 1, 1, False
480.5105, 0, 0, 75, 1, 1, 1, False
480.5345, 0, 0, 75, 1, 1, 1, False
480.5597, 0, 0, 75, 1, 1, 1, False
480.5829, 0, 0, 75, 1, 1, 1, False
480.683, 0, 0, 75, 1, 1, 1, False
480.7049, 0, 0, 75, 1, 1, 1, False
480.7232, 0, 0, 75, 1, 1, 1, False
480.809, 0, 0, 75, 1, 1, 1, False
480.8412, 0, 0, 75, 1, 1, 1, False
480.8699, 0, 0, 75, 1, 1, 1, False
480.9699, 0, 0, 75, 1, 1, 1, False
480.9947, 0, 0, 75, 1, 1, 1, False
481.0198, 0, 0, 75, 1, 1, 1, False
481.0402, 0, 0, 75, 1, 1, 1, False
481.071, 0, 0, 75, 1, 1, 1, False
481.0964, 0, 0, 75, 1, 1, 1, False
481.1305, 0, 0, 75, 1, 1, 1, False
481.1573, 0, 0, 75, 1, 1, 1, False
481.1804, 0, 0, 75, 1, 1, 1, False
481.1991, 0, 0, 75, 1, 1, 1, False
481.2516, 0, 0, 75, 1, 1, 1, False
481.2734, 0, 0, 75, 1, 1, 1, False
481.2951, 0, 0, 75, 1, 1, 1, False
481.3215, 0, 0, 75, 1, 1, 1, False
481.3451, 0, 0, 75, 1, 1, 1, False
481.427, 0, 0, 75, 1, 1, 1, False
481.4512, 0, 0, 75, 1, 1, 1, False
481.4758, 0, 0, 75, 1, 1, 1, False
481.5744, 0, 0, 75, 1, 1, 1, False
481.5958, 0, 0, 75, 1, 1, 1, False
481.6183, 0, 0, 75, 1, 1, 1, False
481.7019, 0, 0, 75, 1, 1, 1, False
481.7273, 0, 0, 75, 1, 1, 1, False
481.7549, 0, 0, 75, 1, 1, 1, False
481.7766, 0, 0, 75, 1, 1, 1, False
481.8766, 0, 0, 75, 1, 1, 1, False
481.897, 0, 0, 75, 1, 1, 1, False
481.9199, 0, 0, 75, 1, 1, 1, False
481.9474, 0, 0, 75, 1, 1, 1, False
482.0341, 0, 0, 75, 1, 1, 1, False
482.059, 0, 0, 75, 1, 1, 1, False
482.0822, 0, 0, 75, 1, 1, 1, False
482.1663, 0, 0, 75, 1, 1, 1, False
482.1891, 0, 0, 75, 1, 1, 1, False
482.2088, 0, 0, 75, 1, 1, 1, False
482.2339, 0, 0, 75, 1, 1, 1, False
482.2534, 0, 0, 75, 1, 1, 1, False
482.2868, 0, 0, 75, 1, 1, 1, False
482.322, 0, 0, 75, 1, 1, 1, False
482.3414, 0, 0, 75, 1, 1, 1, False
482.3616, 0, 0, 75, 1, 1, 1, False
482.3845, 0, 0, 75, 1, 1, 1, False
482.4119, 0, 0, 75, 1, 1, 1, False
482.5055, 0, 0, 75, 1, 1, 1, False
482.5329, 0, 0, 75, 1, 1, 1, False
482.5573, 0, 0, 75, 1, 1, 1, False
482.6573, 0, 0, 75, 1, 1, 1, False
482.6813, 0, 0, 75, 1, 1, 1, False
482.702, 0, 0, 75, 1, 1, 1, False
482.7295, 0, 0, 75, 1, 1, 1, False
482.8149, 0, 0, 75, 1, 1, 1, False
482.8336, 0, 0, 75, 1, 1, 1, False
482.8546, 0, 0, 75, 1, 1, 1, False
482.9398, 0, 0, 75, 1, 1, 1, False
482.964, 0, 0, 75, 1, 1, 1, False
482.9875, 0, 0, 75, 1, 1, 1, False
483.0876, 0, 0, 75, 1, 1, 1, False
483.174, 0, 0, 75, 1, 1, 1, False
483.2, 0, 0, 75, 1, 1, 1, False
483.2281, 0, 0, 75, 1, 1, 1, False
483.2507, 0, 0, 75, 1, 1, 1, False
483.3363, 0, 0, 75, 1, 1, 1, False
483.3578, 0, 0, 75, 1, 1, 1, False
483.3778, 0, 0, 75, 1, 1, 1, False
483.3986, 0, 0, 75, 1, 1, 1, False
483.4967, 0, 0, 75, 1, 1, 1, False
483.524, 0, 0, 75, 1, 1, 1, False
483.5465, 0, 0, 75, 1, 1, 1, False
483.5718, 0, 0, 75, 1, 1, 1, False
483.6025, 0, 0, 75, 1, 1, 1, False
483.6254, 0, 0, 75, 1, 1, 1, False
483.6463, 0, 0, 75, 1, 1, 1, False
483.6667, 0, 0, 75, 1, 1, 1, False
483.6882, 0, 0, 75, 1, 1, 1, False
483.7117, 0, 0, 75, 1, 1, 1, False
483.7864, 0, 0, 75, 1, 1, 1, False
483.8112, 0, 0, 75, 1, 1, 1, False
483.8358, 0, 0, 75, 1, 1, 1, False
483.9198, 0, 0, 75, 1, 1, 1, False
483.9457, 0, 0, 75, 1, 1, 1, False
483.9684, 0, 0, 75, 1, 1, 1, False
483.9893, 0, 0, 75, 1, 1, 1, False
484.0745, 0, 0, 75, 1, 1, 1, False
484.1038, 0, 0, 75, 1, 1, 1, False
484.1273, 0, 0, 75, 1, 1, 1, False
484.2079, 0, 0, 75, 1, 1, 1, False
484.2303, 0, 0, 75, 1, 1, 1, False
484.3303, 0, 0, 75, 1, 1, 1, False
484.3549, 0, 0, 75, 1, 1, 1, False
484.4254, 0, 0, 75, 1, 1, 1, False
484.4486, 0, 0, 75, 1, 1, 1, False
484.4736, 0, 0, 75, 1, 1, 1, False
484.4997, 0, 0, 75, 1, 1, 1, False
484.5226, 0, 0, 75, 1, 1, 1, False
484.601, 0, 0, 75, 1, 1, 1, False
484.6244, 0, 0, 75, 1, 1, 1, False
484.6467, 0, 0, 75, 1, 1, 1, False
484.677, 0, 0, 75, 1, 1, 1, False
484.7625, 0, 0, 75, 1, 1, 1, False
484.7861, 0, 0, 75, 1, 1, 1, False
484.8065, 0, 0, 75, 1, 1, 1, False
484.8853, 0, 0, 75, 1, 1, 1, False
484.9101, 0, 0, 75, 1, 1, 1, False
484.9327, 0, 0, 75, 1, 1, 1, False
484.9525, 0, 0, 75, 1, 1, 1, False
485.0511, 0, 0, 75, 1, 1, 1, False
485.0782, 0, 0, 75, 1, 1, 1, False
485.1056, 0, 0, 75, 1, 1, 1, False
485.1243, 0, 0, 75, 1, 1, 1, False
485.1517, 0, 0, 75, 1, 1, 1, False
485.2383, 0, 0, 75, 1, 1, 1, False
485.2659, 0, 0, 75, 1, 1, 1, False
485.2895, 0, 0, 75, 1, 1, 1, False
485.3728, 0, 0, 75, 1, 1, 1, False
