t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
0.02, 2021-08-19T16:56:45.5678350+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.12, 2021-08-19T16:56:46.4966230+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.22, 2021-08-19T16:56:46.7263370+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.2730768, 2021-08-19T16:56:46.7790330+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.2831422, 2021-08-19T16:56:46.7870980+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.296508, 2021-08-19T16:56:46.8008530+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3086323, 2021-08-19T16:56:46.8134670+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3239833, 2021-08-19T16:56:46.8279820+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3363549, 2021-08-19T16:56:46.8403750+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3491306, 2021-08-19T16:56:46.8534210+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3601422, 2021-08-19T16:56:46.8645290+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3720056, 2021-08-19T16:56:46.8760160+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.386907, 2021-08-19T16:56:46.8913910+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4041114, 2021-08-19T16:56:46.9083870+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4221964, 2021-08-19T16:56:46.9264600+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4370991, 2021-08-19T16:56:46.9415240+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4530357, 2021-08-19T16:56:46.9580380+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4710441, 2021-08-19T16:56:46.9756540+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4885052, 2021-08-19T16:56:46.9929200+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5015493, 2021-08-19T16:56:47.0054590+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5072477, 2021-08-19T16:56:47.0110260+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5135213, 2021-08-19T16:56:47.0172920+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.518711, 2021-08-19T16:56:47.0225010+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5237281, 2021-08-19T16:56:47.0275570+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5305602, 2021-08-19T16:56:47.0343480+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5344664, 2021-08-19T16:56:47.0382240+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5401335, 2021-08-19T16:56:47.0439520+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5464633, 2021-08-19T16:56:47.0502120+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5505453, 2021-08-19T16:56:47.0543030+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
