t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
24.24237, 0, 0, 50, 16.4, 16.4, 16.4, True
24.25054, 0, 0, 50, 16.4, 16.4, 16.4, True
24.25433, 0, 0, 50, 16.4, 16.4, 16.4, True
24.28643, 0, 0, 50, 16.4, 16.4, 16.4, True
24.29011, 0, 0, 50, 16.4, 16.4, 16.4, True
24.29415, 0, 0, 50, 16.4, 16.4, 16.4, True
24.29817, 0, 0, 50, 16.4, 16.4, 16.4, True
24.30218, 0, 0, 50, 16.4, 16.4, 16.4, True
24.30615, 0, 0, 50, 16.4, 16.4, 16.4, True
24.31026, 0, 0, 50, 16.4, 16.4, 16.4, True
24.31413, 0, 0, 50, 16.4, 16.4, 16.4, True
24.3181, 0, 0, 50, 16.4, 16.4, 16.4, True
24.32222, 0, 0, 50, 16.4, 16.4, 16.4, True
24.32694, 0, 0, 50, 16.4, 16.4, 16.4, True
24.33466, 0, 0, 50, 16.4, 16.4, 16.4, True
24.33811, 0, 0, 50, 16.4, 16.4, 16.4, True
24.34283, 0, 0, 50, 16.4, 16.4, 16.4, True
24.35028, 0, 0, 50, 16.4, 16.4, 16.4, True
24.35427, 0, 0, 50, 16.4, 16.4, 16.4, True
24.35803, 0, 0, 50, 16.4, 16.4, 16.4, True
24.36213, 0, 0, 50, 16.4, 16.4, 16.4, True
24.36612, 0, 0, 50, 16.4, 16.4, 16.4, True
24.3702, 0, 0, 50, 16.4, 16.4, 16.4, True
24.37415, 0, 0, 50, 16.4, 16.4, 16.4, True
24.37809, 0, 0, 50, 16.4, 16.4, 16.4, True
24.38226, 0, 0, 50, 16.4, 16.4, 16.4, True
24.3863, 0, 0, 50, 16.4, 16.4, 16.4, True
24.39018, 0, 0, 50, 16.4, 16.4, 16.4, True
24.39456, 0, 0, 50, 16.4, 16.4, 16.4, True
24.39812, 0, 0, 50, 16.4, 16.4, 16.4, True
24.40232, 0, 0, 50, 16.4, 16.4, 16.4, True
24.40622, 0, 0, 50, 16.4, 16.4, 16.4, True
24.41017, 0, 0, 50, 16.4, 16.4, 16.4, True
24.41415, 0, 0, 50, 16.4, 16.4, 16.4, True
24.41814, 0, 0, 50, 16.4, 16.4, 16.4, True
24.42215, 0, 0, 50, 16.4, 16.4, 16.4, True
24.42615, 0, 0, 50, 16.4, 16.4, 16.4, True
24.43005, 0, 0, 50, 16.4, 16.4, 16.4, True
24.43422, 0, 0, 50, 16.4, 16.4, 16.4, True
24.4382, 0, 0, 50, 16.4, 16.4, 16.4, True
24.44235, 0, 0, 50, 16.4, 16.4, 16.4, True
24.45024, 0, 0, 50, 16.4, 16.4, 16.4, True
24.45416, 0, 0, 50, 16.4, 16.4, 16.4, True
24.45806, 0, 0, 50, 16.4, 16.4, 16.4, True
24.46214, 0, 0, 50, 16.4, 16.4, 16.4, True
24.46612, 0, 0, 50, 16.4, 16.4, 16.4, True
24.47019, 0, 0, 50, 16.4, 16.4, 16.4, True
24.47416, 0, 0, 50, 16.4, 16.4, 16.4, True
24.47807, 0, 0, 50, 16.4, 16.4, 16.4, True
24.48225, 0, 0, 50, 16.4, 16.4, 16.4, True
24.48619, 0, 0, 50, 16.4, 16.4, 16.4, True
24.49013, 0, 0, 50, 16.4, 16.4, 16.4, True
24.49433, 0, 0, 50, 16.4, 16.4, 16.4, True
24.49818, 0, 0, 50, 16.4, 16.4, 16.4, True
24.50221, 0, 0, 50, 16.4, 16.4, 16.4, True
24.50614, 0, 0, 50, 16.4, 16.4, 16.4, True
24.51032, 0, 0, 50, 16.4, 16.4, 16.4, True
24.51408, 0, 0, 50, 16.4, 16.4, 16.4, True
24.51819, 0, 0, 50, 16.4, 16.4, 16.4, True
24.5222, 0, 0, 50, 16.4, 16.4, 16.4, True
24.52614, 0, 0, 50, 16.4, 16.4, 16.4, True
24.53012, 0, 0, 50, 16.4, 16.4, 16.4, True
24.53415, 0, 0, 50, 16.4, 16.4, 16.4, True
24.53818, 0, 0, 50, 16.4, 16.4, 16.4, True
24.54283, 0, 0, 50, 16.4, 16.4, 16.4, True
24.55029, 0, 0, 50, 16.4, 16.4, 16.4, True
24.5542, 0, 0, 50, 16.4, 16.4, 16.4, True
24.55827, 0, 0, 50, 16.4, 16.4, 16.4, True
24.5621, 0, 0, 50, 16.4, 16.4, 16.4, True
24.5662, 0, 0, 50, 16.4, 16.4, 16.4, True
24.57022, 0, 0, 50, 16.4, 16.4, 16.4, True
24.57429, 0, 0, 50, 16.4, 16.4, 16.4, True
24.57823, 0, 0, 50, 16.4, 16.4, 16.4, True
24.58215, 0, 0, 50, 16.4, 16.4, 16.4, True
24.58624, 0, 0, 50, 16.4, 16.4, 16.4, True
24.59018, 0, 0, 50, 16.4, 16.4, 16.4, True
24.59437, 0, 0, 50, 16.4, 16.4, 16.4, True
24.59816, 0, 0, 50, 16.4, 16.4, 16.4, True
24.60223, 0, 0, 50, 16.4, 16.4, 16.4, True
24.60615, 0, 0, 50, 16.4, 16.4, 16.4, True
24.61021, 0, 0, 50, 16.4, 16.4, 16.4, True
24.61416, 0, 0, 50, 16.4, 16.4, 16.4, True
24.6182, 0, 0, 50, 16.4, 16.4, 16.4, True
24.62218, 0, 0, 50, 16.4, 16.4, 16.4, True
24.62614, 0, 0, 50, 16.4, 16.4, 16.4, True
24.63014, 0, 0, 50, 16.4, 16.4, 16.4, True
24.63419, 0, 0, 50, 16.4, 16.4, 16.4, True
24.63818, 0, 0, 50, 16.4, 16.4, 16.4, True
