t 0.5948511, x 16.62196, y -10.73677, z 45.91767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6948511, x 16.58189, y -10.73677, z 45.93216, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7355677, x 12.86684, y -8.725376, z 47.5217, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7404023, x 12.75212, y -8.510475, z 47.59155, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7442436, x 12.6766, y -8.338438, z 47.64215, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7481574, x 12.6766, y -8.338438, z 47.64215, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7522144, x 12.6766, y -8.338438, z 47.64215, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7562106, x 12.6424, y -8.1663, z 47.68104, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7602967, x 12.6424, y -8.1663, z 47.68104, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7641479, x 12.6424, y -8.1663, z 47.68104, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7682592, x 12.56456, y -8.037129, z 47.72354, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7723138, x 12.56456, y -8.037129, z 47.72354, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7760976, x 12.56456, y -8.037129, z 47.72354, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7802311, x 12.49, y -7.821724, z 47.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7840693, x 12.49, y -7.821724, z 47.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.788185, x 12.49, y -7.821724, z 47.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7922893, x 12.3733, y -7.60617, z 47.84399, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7962719, x 12.3733, y -7.60617, z 47.84399, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.800132, x 12.33647, y -7.476768, z 47.87389, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8041341, x 12.33647, y -7.476768, z 47.87389, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8080901, x 12.33647, y -7.476768, z 47.87389, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8123491, x 12.2577, y -7.347316, z 47.91415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8160952, x 12.2577, y -7.347316, z 47.91415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8203207, x 12.2577, y -7.347316, z 47.91415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8244299, x 12.2577, y -7.347316, z 47.91415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8281559, x 12.2577, y -7.347316, z 47.91415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.832135, x 12.2577, y -7.347316, z 47.91415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8362727, x 12.26086, y -7.260985, z 47.9265, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8402207, x 12.26086, y -7.260985, z 47.9265, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8441737, x 12.26086, y -7.260985, z 47.9265, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8482375, x 12.22214, y -7.174632, z 47.94939, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8522369, x 12.22214, y -7.174632, z 47.94939, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8561542, x 12.18336, y -7.088256, z 47.9721, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8603187, x 12.14451, y -7.001861, z 47.99463, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8641302, x 12.14451, y -7.001861, z 47.99463, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8681342, x 12.10559, y -6.915444, z 48.01699, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8722239, x 12.10559, y -6.915444, z 48.01699, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8761659, x 12.10559, y -6.915444, z 48.01699, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8804513, x 12.10706, y -6.872227, z 48.02282, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8841426, x 12.10706, y -6.872227, z 48.02282, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
