t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x -6.529891, y -5.486715, z 49.26719, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x -7.702108, y -11.33256, z 48.08587, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.32, x -13.2761, y -20.05743, z 43.83429, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.39303, x -13.45692, y -20.13733, z 43.74242, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4465214, x -13.71399, y -20.49615, z 43.49522, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4996087, x -13.83492, y -19.57672, z 43.87878, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5591959, x -13.92627, y -18.52787, z 44.30324, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6278975, x -13.47873, y -16.15459, z 45.35806, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7099455, x -13.28, y -15.74105, z 45.56162, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.794298, x -13.28767, y -15.65819, z 45.58792, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8678803, x -13.2953, y -15.57529, z 45.61409, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9432256, x -13.22321, y -15.49234, z 45.66327, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.026903, x -13.04588, y -15.24322, z 45.79792, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.096233, x -8.958569, y -13.10946, z 47.41188, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.157572, x -3.280791, y -10.60889, z 48.75129, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.257572, x -2.645343, y -10.3529, z 48.84485, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.333359, x -2.646317, y -10.26751, z 48.86282, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
