t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 0, 0, 50, 1, 1, 1, True
0.12, 0, 0, 50, 1, 1, 1, True
0.22, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.2761388, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.282131, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.2958564, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3055349, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.312859, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3210398, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3285834, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3373059, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3490802, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3609837, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3689521, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3771723, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.386254, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.3981672, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4095716, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4207685, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4326416, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4490811, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4652232, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4770967, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4845967, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4926032, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.4959994, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5003345, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5041732, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5079953, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5121972, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5169916, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.52145, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5264275, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.532422, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5362602, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5415549, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.548172, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
0.5523197, 2.442034, -9.369064, 49.05362, 1, 1, 1, True
