t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
47.05379, 0, 0, 50, 1, 1, 1, True
47.05786, 0, 0, 50, 1, 1, 1, True
47.06184, 0, 0, 50, 1, 1, 1, True
47.06577, 0, 0, 50, 1, 1, 1, True
47.07036, 0, 0, 50, 1, 1, 1, True
47.10238, 0, 0, 50, 1, 1, 1, True
47.11438, 0, 0, 50, 1, 1, 1, True
47.11778, 0, 0, 50, 1, 1, 1, True
47.12168, 0, 0, 50, 1, 1, 1, True
47.13026, 0, 0, 50, 1, 1, 1, True
47.13364, 0, 0, 50, 1, 1, 1, True
47.13784, 0, 0, 50, 1, 1, 1, True
47.14173, 0, 0, 50, 1, 1, 1, True
47.14571, 0, 0, 50, 1, 1, 1, True
47.14967, 0, 0, 50, 1, 1, 1, True
47.15378, 0, 0, 50, 1, 1, 1, True
47.15772, 0, 0, 50, 1, 1, 1, True
47.16178, 0, 0, 50, 1, 1, 1, True
47.16566, 0, 0, 50, 1, 1, 1, True
47.16986, 0, 0, 50, 1, 1, 1, True
47.17362, 0, 0, 50, 1, 1, 1, True
47.17776, 0, 0, 50, 1, 1, 1, True
47.18167, 0, 0, 50, 1, 1, 1, True
47.18571, 0, 0, 50, 1, 1, 1, True
47.18974, 0, 0, 50, 1, 1, 1, True
47.1938, 0, 0, 50, 1, 1, 1, True
47.19765, 0, 0, 50, 1, 1, 1, True
47.20173, 0, 0, 50, 1, 1, 1, True
47.2057, 0, 0, 50, 1, 1, 1, True
47.20972, 0, 0, 50, 1, 1, 1, True
47.21373, 0, 0, 50, 1, 1, 1, True
47.21767, 0, 0, 50, 1, 1, 1, True
47.22182, 0, 0, 50, 1, 1, 1, True
47.22572, 0, 0, 50, 1, 1, 1, True
47.22974, 0, 0, 50, 1, 1, 1, True
47.23382, 0, 0, 50, 1, 1, 1, True
47.23765, 0, 0, 50, 1, 1, 1, True
47.24175, 0, 0, 50, 1, 1, 1, True
47.2457, 0, 0, 50, 1, 1, 1, True
47.24973, 0, 0, 50, 1, 1, 1, True
47.25374, 0, 0, 50, 1, 1, 1, True
47.25773, 0, 0, 50, 1, 1, 1, True
47.26174, 0, 0, 50, 1, 1, 1, True
47.26574, 0, 0, 50, 1, 1, 1, True
47.27378, 0, 0, 50, 1, 1, 1, True
47.27764, 0, 0, 50, 1, 1, 1, True
47.28173, 0, 0, 50, 1, 1, 1, True
47.28575, 0, 0, 50, 1, 1, 1, True
47.28977, 0, 0, 50, 1, 1, 1, True
47.29363, 0, 0, 50, 1, 1, 1, True
47.29774, 0, 0, 50, 1, 1, 1, True
47.30172, 0, 0, 50, 1, 1, 1, True
47.30568, 0, 0, 50, 1, 1, 1, True
47.30962, 0, 0, 50, 1, 1, 1, True
47.31366, 0, 0, 50, 1, 1, 1, True
47.31776, 0, 0, 50, 1, 1, 1, True
