t 2.482737, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.527114, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.533918, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.545347, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.556602, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.562621, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.570901, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.578054, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.586914, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.594689, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.6024, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.61082, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.618899, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.627057, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.634171, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.643403, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.650523, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.657948, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.666831, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.673848, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.682926, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.690017, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.698932, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.706924, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.718727, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.725827, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.734733, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.742563, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.749996, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.753564, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.760101, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.768188, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.795088, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.801935, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.810926, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.818509, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.82635, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.834742, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.842519, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.850522, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.858597, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.866813, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.874964, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.882228, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.891339, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.899247, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.906027, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.914702, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.922877, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.930497, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.938186, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.946392, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.954543, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.961758, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.971109, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.978382, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
