t 1.087048, stimulusOn False
t 1.091022, stimulusOn False
t 1.095285, stimulusOn False
t 1.098995, stimulusOn False
t 1.103074, stimulusOn False
t 1.107153, stimulusOn False
t 1.111026, stimulusOn False
t 1.115087, stimulusOn False
t 1.119271, stimulusOn False
t 1.123119, stimulusOn False
t 1.127082, stimulusOn False
t 1.131292, stimulusOn False
t 1.135196, stimulusOn False
t 1.139248, stimulusOn False
t 1.143249, stimulusOn False
t 1.147287, stimulusOn False
t 1.151088, stimulusOn False
t 1.155022, stimulusOn False
t 1.159232, stimulusOn False
t 1.163212, stimulusOn False
t 1.167083, stimulusOn False
t 1.171253, stimulusOn False
t 1.175185, stimulusOn False
t 1.178972, stimulusOn False
t 1.183203, stimulusOn False
t 1.18696, stimulusOn False
t 1.19102, stimulusOn False
t 1.195089, stimulusOn False
t 1.199173, stimulusOn False
t 1.203295, stimulusOn False
t 1.207035, stimulusOn False
t 1.21116, stimulusOn False
t 1.215152, stimulusOn False
t 1.219218, stimulusOn False
t 1.223145, stimulusOn False
t 1.227153, stimulusOn False
t 1.231515, stimulusOn False
t 1.235098, stimulusOn False
t 1.239116, stimulusOn False
t 1.24308, stimulusOn False
t 1.247249, stimulusOn False
t 1.251065, stimulusOn False
t 1.255032, stimulusOn False
t 1.25921, stimulusOn False
t 1.263271, stimulusOn False
t 1.267136, stimulusOn False
t 1.271326, stimulusOn False
t 1.275238, stimulusOn False
t 1.279252, stimulusOn False
t 1.283115, stimulusOn False
t 1.28709, stimulusOn False
t 1.291093, stimulusOn False
t 1.295213, stimulusOn False
t 1.29908, stimulusOn False
t 1.303243, stimulusOn False
t 1.307123, stimulusOn False
t 1.31135, stimulusOn False
t 1.314992, stimulusOn False
t 1.319261, stimulusOn False
t 1.323082, stimulusOn False
t 1.336779, stimulusOn True
t 1.35525, stimulusOn True
t 1.35906, stimulusOn True
t 1.363106, stimulusOn True
t 1.367229, stimulusOn True
t 1.371241, stimulusOn True
t 1.375275, stimulusOn True
t 1.379116, stimulusOn True
t 1.383212, stimulusOn True
t 1.38709, stimulusOn True
t 1.391273, stimulusOn True
t 1.395198, stimulusOn True
t 1.399179, stimulusOn True
t 1.403211, stimulusOn True
t 1.407128, stimulusOn True
t 1.411044, stimulusOn True
t 1.415119, stimulusOn True
t 1.419337, stimulusOn True
t 1.423176, stimulusOn True
t 1.42726, stimulusOn False
t 1.431538, stimulusOn False
t 1.43532, stimulusOn False
t 1.439775, stimulusOn False
t 1.443061, stimulusOn False
t 1.447204, stimulusOn False
t 1.451186, stimulusOn False
t 1.454993, stimulusOn False
t 1.459238, stimulusOn False
t 1.463252, stimulusOn False
t 1.467102, stimulusOn False
t 1.47123, stimulusOn False
t 1.475262, stimulusOn False
t 1.479264, stimulusOn False
t 1.483211, stimulusOn False
t 1.487168, stimulusOn False
t 1.491125, stimulusOn False
t 1.495225, stimulusOn False
t 1.499224, stimulusOn False
t 1.503161, stimulusOn False
t 1.507183, stimulusOn False
t 1.511268, stimulusOn False
t 1.514938, stimulusOn False
t 1.519233, stimulusOn False
t 1.523202, stimulusOn False
t 1.527125, stimulusOn False
t 1.531467, stimulusOn False
t 1.53509, stimulusOn False
t 1.539102, stimulusOn False
t 1.543155, stimulusOn False
t 1.547239, stimulusOn False
t 1.551198, stimulusOn False
t 1.554975, stimulusOn False
t 1.559292, stimulusOn False
t 1.563078, stimulusOn False
t 1.567198, stimulusOn False
t 1.571159, stimulusOn False
t 1.575164, stimulusOn False
t 1.579186, stimulusOn False
t 1.583221, stimulusOn False
t 1.587164, stimulusOn False
t 1.591153, stimulusOn False
t 1.59533, stimulusOn False
t 1.599075, stimulusOn False
t 1.603119, stimulusOn False
t 1.607173, stimulusOn False
t 1.611175, stimulusOn False
t 1.615026, stimulusOn False
t 1.619259, stimulusOn False
t 1.623127, stimulusOn False
t 1.627154, stimulusOn False
t 1.631637, stimulusOn False
t 1.635054, stimulusOn False
t 1.63931, stimulusOn False
t 1.643064, stimulusOn False
t 1.647252, stimulusOn False
t 1.651104, stimulusOn False
t 1.655011, stimulusOn False
t 1.659202, stimulusOn False
t 1.663249, stimulusOn False
t 1.66718, stimulusOn False
t 1.671262, stimulusOn False
t 1.675245, stimulusOn False
t 1.679275, stimulusOn False
t 1.683139, stimulusOn False
t 1.68713, stimulusOn False
t 1.691124, stimulusOn False
t 1.695254, stimulusOn False
t 1.699154, stimulusOn False
t 1.703212, stimulusOn False
t 1.707093, stimulusOn False
t 1.711544, stimulusOn True
