t, stimulusOn
0.02, 2021-06-08T15:04:47.9381610+08:00, False
0.12, 2021-06-08T15:04:49.0720910+08:00, False
0.22, 2021-06-08T15:04:49.3648480+08:00, False
0.32, 2021-06-08T15:04:49.4672910+08:00, False
0.3260795, 2021-06-08T15:04:49.4723930+08:00, False
0.3299415, 2021-06-08T15:04:49.4762260+08:00, False
0.3339325, 2021-06-08T15:04:49.4802130+08:00, False
0.338062, 2021-06-08T15:04:49.4843100+08:00, False
0.3419277, 2021-06-08T15:04:49.4883960+08:00, False
0.348244, 2021-06-08T15:04:49.4945360+08:00, False
0.3568394, 2021-06-08T15:04:49.5031870+08:00, False
0.3656356, 2021-06-08T15:04:49.5121950+08:00, False
0.3748869, 2021-06-08T15:04:49.5211850+08:00, False
0.3833935, 2021-06-08T15:04:49.5299010+08:00, False
0.3918478, 2021-06-08T15:04:49.5381160+08:00, False
0.4018651, 2021-06-08T15:04:49.5485460+08:00, False
0.4092101, 2021-06-08T15:04:49.5556100+08:00, False
0.4171869, 2021-06-08T15:04:49.5634520+08:00, False
0.4249618, 2021-06-08T15:04:49.5715280+08:00, False
0.4330683, 2021-06-08T15:04:49.5793680+08:00, False
0.4396754, 2021-06-08T15:04:49.5859270+08:00, False
0.4471776, 2021-06-08T15:04:49.5940300+08:00, False
0.4550732, 2021-06-08T15:04:49.6013800+08:00, False
0.4622523, 2021-06-08T15:04:49.6087560+08:00, False
0.4688468, 2021-06-08T15:04:49.6151350+08:00, False
0.4756675, 2021-06-08T15:04:49.6219600+08:00, False
0.482454, 2021-06-08T15:04:49.6289260+08:00, False
0.4895461, 2021-06-08T15:04:49.6358180+08:00, False
0.495503, 2021-06-08T15:04:49.6418110+08:00, False
0.5023577, 2021-06-08T15:04:49.6492820+08:00, False
0.5093077, 2021-06-08T15:04:49.6556220+08:00, False
0.515773, 2021-06-08T15:04:49.6621100+08:00, False
0.5224891, 2021-06-08T15:04:49.6690150+08:00, False
0.5289108, 2021-06-08T15:04:49.6752380+08:00, False
0.5346311, 2021-06-08T15:04:49.6809160+08:00, False
0.5410297, 2021-06-08T15:04:49.6876050+08:00, False
0.5471613, 2021-06-08T15:04:49.6934740+08:00, False
0.5543559, 2021-06-08T15:04:49.7006590+08:00, False
0.5600798, 2021-06-08T15:04:49.7087820+08:00, False
0.5659552, 2021-06-08T15:04:49.7122900+08:00, False
0.5714002, 2021-06-08T15:04:49.7176590+08:00, False
0.5773442, 2021-06-08T15:04:49.7236390+08:00, False
0.5839731, 2021-06-08T15:04:49.7304980+08:00, False
0.5899912, 2021-06-08T15:04:49.7362440+08:00, False
0.5952507, 2021-06-08T15:04:49.7415280+08:00, False
0.6002102, 2021-06-08T15:04:49.7532900+08:00, False
0.6142699, 2021-06-08T15:04:49.7605410+08:00, False
0.6179614, 2021-06-08T15:04:49.7642490+08:00, False
0.6219903, 2021-06-08T15:04:49.7684730+08:00, False
0.6259221, 2021-06-08T15:04:49.7721670+08:00, False
0.6299439, 2021-06-08T15:04:49.7762130+08:00, False
0.6338686, 2021-06-08T15:04:49.7801240+08:00, False
0.6387092, 2021-06-08T15:04:49.7849710+08:00, False
0.6443403, 2021-06-08T15:04:49.7909200+08:00, False
0.6500359, 2021-06-08T15:04:49.7963330+08:00, False
0.6544573, 2021-06-08T15:04:49.8007640+08:00, False
0.6594169, 2021-06-08T15:04:49.8057670+08:00, False
0.6662299, 2021-06-08T15:04:49.8127370+08:00, False
0.6699661, 2021-06-08T15:04:49.8162170+08:00, False
0.6750382, 2021-06-08T15:04:49.8213340+08:00, False
0.6794128, 2021-06-08T15:04:49.8257170+08:00, False
0.6859549, 2021-06-08T15:04:49.8325000+08:00, False
0.6899897, 2021-06-08T15:04:49.8362390+08:00, False
0.6942255, 2021-06-08T15:04:49.8404930+08:00, False
0.6992911, 2021-06-08T15:04:49.8456050+08:00, False
0.7060918, 2021-06-08T15:04:49.8527490+08:00, False
0.7102272, 2021-06-08T15:04:49.8565420+08:00, False
0.7149409, 2021-06-08T15:04:49.8612480+08:00, False
0.7191256, 2021-06-08T15:04:49.8654040+08:00, False
0.7242583, 2021-06-08T15:04:49.8708040+08:00, False
0.7301483, 2021-06-08T15:04:49.8764520+08:00, False
0.7338861, 2021-06-08T15:04:49.8801750+08:00, False
0.7379969, 2021-06-08T15:04:49.8842670+08:00, False
0.74207, 2021-06-08T15:04:49.8886760+08:00, False
0.7469447, 2021-06-08T15:04:49.8932650+08:00, False
0.7544957, 2021-06-08T15:04:49.9008220+08:00, False
0.7606439, 2021-06-08T15:04:49.9076100+08:00, False
0.7660751, 2021-06-08T15:04:49.9123570+08:00, False
0.7699567, 2021-06-08T15:04:49.9162310+08:00, False
0.7740528, 2021-06-08T15:04:49.9203040+08:00, False
0.7779289, 2021-06-08T15:04:49.9242590+08:00, False
0.7817557, 2021-06-08T15:04:49.9283060+08:00, False
0.786217, 2021-06-08T15:04:49.9324810+08:00, False
0.7898684, 2021-06-08T15:04:49.9361130+08:00, False
0.7939773, 2021-06-08T15:04:49.9402680+08:00, False
0.798011, 2021-06-08T15:04:49.9443080+08:00, False
0.8018203, 2021-06-08T15:04:49.9487210+08:00, False
0.805894, 2021-06-08T15:04:49.9522200+08:00, False
0.8099961, 2021-06-08T15:04:49.9563130+08:00, False
0.8144882, 2021-06-08T15:04:49.9607530+08:00, False
0.8184904, 2021-06-08T15:04:49.9647660+08:00, False
0.8230209, 2021-06-08T15:04:49.9695300+08:00, False
0.8302474, 2021-06-08T15:04:49.9765590+08:00, False
0.833927, 2021-06-08T15:04:49.9802120+08:00, False
0.8379417, 2021-06-08T15:04:49.9841930+08:00, False
0.8419493, 2021-06-08T15:04:49.9884630+08:00, False
0.8459554, 2021-06-08T15:04:49.9922550+08:00, False
0.8499868, 2021-06-08T15:04:49.9963210+08:00, False
0.85452, 2021-06-08T15:04:50.0008770+08:00, False
0.8623095, 2021-06-08T15:04:50.0089870+08:00, False
0.8657429, 2021-06-08T15:04:50.0120170+08:00, False
0.8699834, 2021-06-08T15:04:50.0162540+08:00, False
0.8739458, 2021-06-08T15:04:50.0202200+08:00, False
0.8778976, 2021-06-08T15:04:50.0241580+08:00, False
0.881873, 2021-06-08T15:04:50.0283820+08:00, False
0.8862802, 2021-06-08T15:04:50.0325600+08:00, False
0.89015, 2021-06-08T15:04:50.0364680+08:00, False
0.8948573, 2021-06-08T15:04:50.0411880+08:00, False
0.8994794, 2021-06-08T15:04:50.0458200+08:00, False
0.9060171, 2021-06-08T15:04:50.0526810+08:00, False
0.9142873, 2021-06-08T15:04:50.0605520+08:00, False
0.9180065, 2021-06-08T15:04:50.0643330+08:00, False
0.9221163, 2021-06-08T15:04:50.0686980+08:00, False
0.9263376, 2021-06-08T15:04:50.0726070+08:00, False
0.9300561, 2021-06-08T15:04:50.0763320+08:00, False
0.9338453, 2021-06-08T15:04:50.0801040+08:00, False
0.9380518, 2021-06-08T15:04:50.0843110+08:00, False
