t, stimulusOn
29.68079, 2021-08-19T17:08:14.6931900+08:00, True
29.68462, 2021-08-19T17:08:14.6969900+08:00, True
29.68891, 2021-08-19T17:08:14.7012950+08:00, True
29.69277, 2021-08-19T17:08:14.7051720+08:00, True
29.69682, 2021-08-19T17:08:14.7092100+08:00, True
29.70078, 2021-08-19T17:08:14.7131890+08:00, True
29.70476, 2021-08-19T17:08:14.7171480+08:00, True
29.70883, 2021-08-19T17:08:14.7212280+08:00, True
29.71284, 2021-08-19T17:08:14.7252430+08:00, True
29.71673, 2021-08-19T17:08:14.7291120+08:00, True
29.72075, 2021-08-19T17:08:14.7331510+08:00, True
29.72484, 2021-08-19T17:08:14.7372330+08:00, True
29.72884, 2021-08-19T17:08:14.7412310+08:00, True
29.73261, 2021-08-19T17:08:14.7449950+08:00, True
29.73672, 2021-08-19T17:08:14.7491120+08:00, True
29.74085, 2021-08-19T17:08:14.7532770+08:00, True
29.74479, 2021-08-19T17:08:14.7571820+08:00, True
29.74878, 2021-08-19T17:08:14.7612260+08:00, True
29.75281, 2021-08-19T17:08:14.7651990+08:00, True
29.75694, 2021-08-19T17:08:14.7693320+08:00, True
29.76068, 2021-08-19T17:08:14.7730970+08:00, True
29.76487, 2021-08-19T17:08:14.7772740+08:00, True
29.7687, 2021-08-19T17:08:14.7810930+08:00, True
29.77288, 2021-08-19T17:08:14.7852960+08:00, True
29.77681, 2021-08-19T17:08:14.7892300+08:00, True
29.78087, 2021-08-19T17:08:14.7932810+08:00, True
29.7846, 2021-08-19T17:08:14.7970020+08:00, True
29.78885, 2021-08-19T17:08:14.8012360+08:00, True
29.79279, 2021-08-19T17:08:14.8051790+08:00, True
29.79679, 2021-08-19T17:08:14.8091820+08:00, True
29.80069, 2021-08-19T17:08:14.8131070+08:00, True
29.80487, 2021-08-19T17:08:14.8172990+08:00, True
29.81314, 2021-08-19T17:08:14.8291170+08:00, True
29.82092, 2021-08-19T17:08:14.8333570+08:00, True
29.8293, 2021-08-19T17:08:14.8418140+08:00, True
29.89667, 2021-08-19T17:08:14.9092880+08:00, True
29.90475, 2021-08-19T17:08:14.9174110+08:00, True
29.90867, 2021-08-19T17:08:14.9210380+08:00, True
29.9129, 2021-08-19T17:08:14.9253040+08:00, True
29.91677, 2021-08-19T17:08:14.9292030+08:00, True
29.92074, 2021-08-19T17:08:14.9331460+08:00, True
29.92483, 2021-08-19T17:08:14.9372180+08:00, True
29.9286, 2021-08-19T17:08:14.9409700+08:00, True
29.93269, 2021-08-19T17:08:14.9451680+08:00, True
29.93673, 2021-08-19T17:08:14.9491190+08:00, True
29.9408, 2021-08-19T17:08:14.9532020+08:00, True
29.94473, 2021-08-19T17:08:14.9571280+08:00, True
29.94859, 2021-08-19T17:08:14.9610440+08:00, True
29.95274, 2021-08-19T17:08:14.9651290+08:00, True
29.95686, 2021-08-19T17:08:14.9692620+08:00, True
29.96092, 2021-08-19T17:08:14.9733460+08:00, True
29.96482, 2021-08-19T17:08:14.9772160+08:00, True
29.96853, 2021-08-19T17:08:14.9809220+08:00, True
29.9728, 2021-08-19T17:08:14.9851900+08:00, True
29.97675, 2021-08-19T17:08:14.9891550+08:00, True
29.9809, 2021-08-19T17:08:14.9933270+08:00, True
29.98451, 2021-08-19T17:08:14.9968990+08:00, True
29.98881, 2021-08-19T17:08:15.0012060+08:00, True
29.99264, 2021-08-19T17:08:15.0050240+08:00, True
29.99669, 2021-08-19T17:08:15.0091360+08:00, True
30.00073, 2021-08-19T17:08:15.0131400+08:00, True
30.00477, 2021-08-19T17:08:15.0171680+08:00, True
30.00877, 2021-08-19T17:08:15.0211700+08:00, True
30.01275, 2021-08-19T17:08:15.0251390+08:00, True
30.0168, 2021-08-19T17:08:15.0291900+08:00, True
30.0207, 2021-08-19T17:08:15.0331240+08:00, True
30.02482, 2021-08-19T17:08:15.0372050+08:00, True
30.02873, 2021-08-19T17:08:15.0411160+08:00, True
30.03258, 2021-08-19T17:08:15.0449670+08:00, True
30.03678, 2021-08-19T17:08:15.0491830+08:00, True
30.04077, 2021-08-19T17:08:15.0531760+08:00, True
30.04478, 2021-08-19T17:08:15.0571750+08:00, True
30.04865, 2021-08-19T17:08:15.0610560+08:00, True
30.05272, 2021-08-19T17:08:15.0651200+08:00, True
30.05679, 2021-08-19T17:08:15.0691750+08:00, True
30.06102, 2021-08-19T17:08:15.0734500+08:00, True
30.06468, 2021-08-19T17:08:15.0770780+08:00, True
30.06875, 2021-08-19T17:08:15.0811630+08:00, True
30.07284, 2021-08-19T17:08:15.0852320+08:00, True
30.07679, 2021-08-19T17:08:15.0891920+08:00, True
30.08084, 2021-08-19T17:08:15.0932620+08:00, True
30.08459, 2021-08-19T17:08:15.0969650+08:00, True
30.08879, 2021-08-19T17:08:15.1011750+08:00, True
30.09281, 2021-08-19T17:08:15.1052130+08:00, True
30.0968, 2021-08-19T17:08:15.1091950+08:00, True
30.10065, 2021-08-19T17:08:15.1130750+08:00, True
30.1048, 2021-08-19T17:08:15.1171890+08:00, True
30.10885, 2021-08-19T17:08:15.1212410+08:00, True
30.11272, 2021-08-19T17:08:15.1251220+08:00, True
30.11658, 2021-08-19T17:08:15.1289670+08:00, True
30.12066, 2021-08-19T17:08:15.1330910+08:00, True
30.12481, 2021-08-19T17:08:15.1372110+08:00, True
30.1288, 2021-08-19T17:08:15.1411850+08:00, True
30.13292, 2021-08-19T17:08:15.1453530+08:00, True
30.13673, 2021-08-19T17:08:15.1491160+08:00, True
30.14081, 2021-08-19T17:08:15.1532420+08:00, True
30.1447, 2021-08-19T17:08:15.1570910+08:00, True
30.14865, 2021-08-19T17:08:15.1610590+08:00, True
30.15272, 2021-08-19T17:08:15.1651160+08:00, True
30.15691, 2021-08-19T17:08:15.1693030+08:00, True
30.16077, 2021-08-19T17:08:15.1731970+08:00, True
30.16479, 2021-08-19T17:08:15.1771830+08:00, True
30.16867, 2021-08-19T17:08:15.1810570+08:00, True
30.17277, 2021-08-19T17:08:15.1851600+08:00, True
30.17685, 2021-08-19T17:08:15.1892720+08:00, True
30.18082, 2021-08-19T17:08:15.1932310+08:00, True
30.18455, 2021-08-19T17:08:15.1969430+08:00, True
30.18882, 2021-08-19T17:08:15.2012170+08:00, True
30.19288, 2021-08-19T17:08:15.2052750+08:00, True
30.19674, 2021-08-19T17:08:15.2091270+08:00, True
30.2009, 2021-08-19T17:08:15.2133250+08:00, True
30.20485, 2021-08-19T17:08:15.2172410+08:00, True
30.20876, 2021-08-19T17:08:15.2211550+08:00, True
30.21277, 2021-08-19T17:08:15.2251400+08:00, True
30.21676, 2021-08-19T17:08:15.2291260+08:00, True
30.22081, 2021-08-19T17:08:15.2332130+08:00, True
30.22475, 2021-08-19T17:08:15.2371190+08:00, True
30.2288, 2021-08-19T17:08:15.2411770+08:00, True
30.23264, 2021-08-19T17:08:15.2450100+08:00, True
30.23681, 2021-08-19T17:08:15.2491870+08:00, True
30.2408, 2021-08-19T17:08:15.2531960+08:00, True
30.24468, 2021-08-19T17:08:15.2570930+08:00, True
30.24871, 2021-08-19T17:08:15.2610830+08:00, True
30.25278, 2021-08-19T17:08:15.2651520+08:00, True
30.25686, 2021-08-19T17:08:15.2692520+08:00, True
30.26075, 2021-08-19T17:08:15.2731560+08:00, True
30.26485, 2021-08-19T17:08:15.2772300+08:00, True
30.26869, 2021-08-19T17:08:15.2810740+08:00, True
30.27275, 2021-08-19T17:08:15.2851310+08:00, True
30.27677, 2021-08-19T17:08:15.2891390+08:00, True
30.2807, 2021-08-19T17:08:15.2931030+08:00, True
30.28468, 2021-08-19T17:08:15.2970710+08:00, True
30.28879, 2021-08-19T17:08:15.3011580+08:00, True
30.29272, 2021-08-19T17:08:15.3051030+08:00, True
30.29675, 2021-08-19T17:08:15.3091040+08:00, True
30.30074, 2021-08-19T17:08:15.3132170+08:00, True
30.30469, 2021-08-19T17:08:15.3170400+08:00, True
30.309, 2021-08-19T17:08:15.3213710+08:00, True
30.31274, 2021-08-19T17:08:15.3251160+08:00, True
30.31682, 2021-08-19T17:08:15.3291920+08:00, True
30.32069, 2021-08-19T17:08:15.3330820+08:00, True
30.32479, 2021-08-19T17:08:15.3371450+08:00, True
30.32888, 2021-08-19T17:08:15.3412530+08:00, True
30.33263, 2021-08-19T17:08:15.3450100+08:00, True
30.33678, 2021-08-19T17:08:15.3491680+08:00, True
30.34075, 2021-08-19T17:08:15.3531620+08:00, True
30.34479, 2021-08-19T17:08:15.3571490+08:00, True
30.34871, 2021-08-19T17:08:15.3611040+08:00, True
30.35273, 2021-08-19T17:08:15.3651000+08:00, True
30.35673, 2021-08-19T17:08:15.3691780+08:00, True
30.36078, 2021-08-19T17:08:15.3731890+08:00, True
30.36488, 2021-08-19T17:08:15.3773070+08:00, True
30.36873, 2021-08-19T17:08:15.3811020+08:00, True
30.37282, 2021-08-19T17:08:15.3851980+08:00, True
30.37677, 2021-08-19T17:08:15.3891450+08:00, True
30.38102, 2021-08-19T17:08:15.3935050+08:00, True
30.3846, 2021-08-19T17:08:15.3969780+08:00, True
30.38884, 2021-08-19T17:08:15.4012100+08:00, True
30.39273, 2021-08-19T17:08:15.4050970+08:00, True
30.39669, 2021-08-19T17:08:15.4090540+08:00, True
30.4007, 2021-08-19T17:08:15.4130990+08:00, True
30.40468, 2021-08-19T17:08:15.4170490+08:00, True
30.40905, 2021-08-19T17:08:15.4214280+08:00, True
30.41259, 2021-08-19T17:08:15.4249660+08:00, True
30.41687, 2021-08-19T17:08:15.4292440+08:00, True
30.42059, 2021-08-19T17:08:15.4329750+08:00, True
30.42471, 2021-08-19T17:08:15.4370900+08:00, True
30.42876, 2021-08-19T17:08:15.4411250+08:00, True
30.43275, 2021-08-19T17:08:15.4451200+08:00, True
30.43686, 2021-08-19T17:08:15.4492300+08:00, True
30.44069, 2021-08-19T17:08:15.4530720+08:00, True
30.44475, 2021-08-19T17:08:15.4571200+08:00, True
30.44881, 2021-08-19T17:08:15.4612860+08:00, True
30.45281, 2021-08-19T17:08:15.4651700+08:00, True
30.45663, 2021-08-19T17:08:15.4689960+08:00, True
30.46098, 2021-08-19T17:08:15.4734110+08:00, True
30.46477, 2021-08-19T17:08:15.4771700+08:00, True
30.46867, 2021-08-19T17:08:15.4810740+08:00, True
30.47268, 2021-08-19T17:08:15.4850540+08:00, True
30.47666, 2021-08-19T17:08:15.4890420+08:00, True
30.4808, 2021-08-19T17:08:15.4932670+08:00, True
30.48504, 2021-08-19T17:08:15.4974310+08:00, True
30.48861, 2021-08-19T17:08:15.5009780+08:00, True
30.49296, 2021-08-19T17:08:15.5053240+08:00, True
30.49662, 2021-08-19T17:08:15.5089890+08:00, True
30.50056, 2021-08-19T17:08:15.5129510+08:00, True
30.50474, 2021-08-19T17:08:15.5171010+08:00, True
30.50865, 2021-08-19T17:08:15.5210170+08:00, True
30.51264, 2021-08-19T17:08:15.5249930+08:00, True
30.51675, 2021-08-19T17:08:15.5291080+08:00, True
30.52065, 2021-08-19T17:08:15.5330460+08:00, True
30.52475, 2021-08-19T17:08:15.5371060+08:00, True
30.5288, 2021-08-19T17:08:15.5411660+08:00, True
30.53274, 2021-08-19T17:08:15.5451260+08:00, True
30.53683, 2021-08-19T17:08:15.5492560+08:00, True
30.54096, 2021-08-19T17:08:15.5533700+08:00, True
30.54504, 2021-08-19T17:08:15.5575240+08:00, True
30.54965, 2021-08-19T17:08:15.5620700+08:00, True
30.55734, 2021-08-19T17:08:15.5697390+08:00, True
30.56558, 2021-08-19T17:08:15.5780530+08:00, True
30.57328, 2021-08-19T17:08:15.5893580+08:00, True
30.58058, 2021-08-19T17:08:15.5929610+08:00, True
30.58532, 2021-08-19T17:08:15.5977010+08:00, True
30.58875, 2021-08-19T17:08:15.6011220+08:00, True
30.59284, 2021-08-19T17:08:15.6052180+08:00, True
30.59677, 2021-08-19T17:08:15.6091370+08:00, True
30.60068, 2021-08-19T17:08:15.6130690+08:00, True
30.60473, 2021-08-19T17:08:15.6171500+08:00, True
30.60869, 2021-08-19T17:08:15.6210550+08:00, True
30.61274, 2021-08-19T17:08:15.6251280+08:00, True
