t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
720.255, 0, 0, 75, 1, 1, 1, False
720.2873, 0, 0, 75, 1, 1, 1, False
720.3196, 0, 0, 75, 1, 1, 1, False
720.3516, 0, 0, 75, 1, 1, 1, False
720.3847, 0, 0, 75, 1, 1, 1, False
720.4139, 0, 0, 75, 1, 1, 1, False
720.4474, 0, 0, 75, 1, 1, 1, False
720.4788, 0, 0, 75, 1, 1, 1, False
720.5107, 0, 0, 75, 1, 1, 1, False
720.5411, 0, 0, 75, 1, 1, 1, False
720.5746, 0, 0, 75, 1, 1, 1, False
720.6055, 0, 0, 75, 1, 1, 1, False
720.6383, 0, 0, 75, 1, 1, 1, False
720.6701, 0, 0, 75, 1, 1, 1, False
720.7009, 0, 0, 75, 1, 1, 1, False
720.7338, 0, 0, 75, 1, 1, 1, False
720.7655, 0, 0, 75, 1, 1, 1, False
720.7973, 0, 0, 75, 1, 1, 1, False
720.8271, 0, 0, 75, 1, 1, 1, False
720.861, 0, 0, 75, 1, 1, 1, False
720.961, 0, 0, 75, 1, 1, 1, False
720.986, 0, 0, 75, 1, 1, 1, False
721.0157, 0, 0, 75, 1, 1, 1, False
721.0537, 0, 0, 75, 1, 1, 1, False
721.1037, 0, 0, 75, 1, 1, 1, False
721.1309, 0, 0, 75, 1, 1, 1, False
721.1601, 0, 0, 75, 1, 1, 1, False
721.2048, 0, 0, 75, 1, 1, 1, False
721.2382, 0, 0, 75, 1, 1, 1, False
721.2665, 0, 0, 75, 1, 1, 1, False
721.2928, 0, 0, 75, 1, 1, 1, False
721.3235, 0, 0, 75, 1, 1, 1, False
721.3461, 0, 0, 75, 1, 1, 1, False
721.3699, 0, 0, 75, 1, 1, 1, False
721.3907, 0, 0, 75, 1, 1, 1, False
721.4188, 0, 0, 75, 1, 1, 1, False
721.4376, 0, 0, 75, 1, 1, 1, False
721.4619, 0, 0, 75, 1, 1, 1, False
721.4927, 0, 0, 75, 1, 1, 1, False
721.5175, 0, 0, 75, 1, 1, 1, False
721.5446, 0, 0, 75, 1, 1, 1, False
721.5751, 0, 0, 75, 1, 1, 1, False
721.6091, 0, 0, 75, 1, 1, 1, False
721.6401, 0, 0, 75, 1, 1, 1, False
721.7103, 0, 0, 75, 1, 1, 1, False
721.7569, 0, 0, 75, 1, 1, 1, False
721.8477, 0, 0, 75, 1, 1, 1, False
721.9134, 0, 0, 75, 1, 1, 1, False
721.9783, 0, 0, 75, 1, 1, 1, False
722.0037, 0, 0, 75, 1, 1, 1, False
722.0472, 0, 0, 75, 1, 1, 1, False
722.1472, 0, 0, 75, 1, 1, 1, False
722.1755, 0, 0, 75, 1, 1, 1, False
722.2292, 0, 0, 75, 1, 1, 1, False
722.3292, 0, 0, 75, 1, 1, 1, False
722.4292, 0, 0, 75, 1, 1, 1, False
722.4666, 0, 0, 75, 1, 1, 1, False
722.5378, 0, 0, 75, 1, 1, 1, False
722.5721, 0, 0, 75, 1, 1, 1, False
722.5952, 0, 0, 75, 1, 1, 1, False
722.6351, 0, 0, 75, 1, 1, 1, False
722.7352, 0, 0, 75, 1, 1, 1, False
722.7968, 0, 0, 75, 1, 1, 1, False
722.8586, 0, 0, 75, 1, 1, 1, False
722.8869, 0, 0, 75, 1, 1, 1, False
722.9501, 0, 0, 75, 1, 1, 1, False
722.973, 0, 0, 75, 1, 1, 1, False
722.9985, 0, 0, 75, 1, 1, 1, False
723.029, 0, 0, 75, 1, 1, 1, False
723.0944, 0, 0, 75, 1, 1, 1, False
723.1218, 0, 0, 75, 1, 1, 1, False
723.1571, 0, 0, 75, 1, 1, 1, False
723.1866, 0, 0, 75, 1, 1, 1, False
723.2591, 0, 0, 75, 1, 1, 1, False
723.3591, 0, 0, 75, 1, 1, 1, False
723.4122, 0, 0, 75, 1, 1, 1, False
723.4484, 0, 0, 75, 1, 1, 1, False
723.4822, 0, 0, 75, 1, 1, 1, False
723.524, 0, 0, 75, 1, 1, 1, False
723.5859, 0, 0, 75, 1, 1, 1, False
723.6327, 0, 0, 75, 1, 1, 1, False
723.6597, 0, 0, 75, 1, 1, 1, False
723.7597, 0, 0, 75, 1, 1, 1, False
723.7885, 0, 0, 75, 1, 1, 1, False
723.8143, 0, 0, 75, 1, 1, 1, False
723.8433, 0, 0, 75, 1, 1, 1, False
723.9029, 0, 0, 75, 1, 1, 1, False
723.9218, 0, 0, 75, 1, 1, 1, False
723.9431, 0, 0, 75, 1, 1, 1, False
723.9659, 0, 0, 75, 1, 1, 1, False
723.986, 0, 0, 75, 1, 1, 1, False
724.0103, 0, 0, 75, 1, 1, 1, False
724.03, 0, 0, 75, 1, 1, 1, False
724.0549, 0, 0, 75, 1, 1, 1, False
724.0872, 0, 0, 75, 1, 1, 1, False
724.1179, 0, 0, 75, 1, 1, 1, False
724.1597, 0, 0, 75, 1, 1, 1, False
724.1878, 0, 0, 75, 1, 1, 1, False
724.2148, 0, 0, 75, 1, 1, 1, False
724.2452, 0, 0, 75, 1, 1, 1, False
724.2782, 0, 0, 75, 1, 1, 1, False
724.3112, 0, 0, 75, 1, 1, 1, False
724.342, 0, 0, 75, 1, 1, 1, False
724.3748, 0, 0, 75, 1, 1, 1, False
724.4079, 0, 0, 75, 1, 1, 1, False
724.4396, 0, 0, 75, 1, 1, 1, False
724.471, 0, 0, 75, 1, 1, 1, False
724.5012, 0, 0, 75, 1, 1, 1, False
724.5353, 0, 0, 75, 1, 1, 1, False
724.5678, 0, 0, 75, 1, 1, 1, False
724.5966, 0, 0, 75, 1, 1, 1, False
724.6285, 0, 0, 75, 1, 1, 1, False
724.6611, 0, 0, 75, 1, 1, 1, False
724.7611, 0, 0, 75, 1, 1, 1, False
724.7881, 0, 0, 75, 1, 1, 1, False
724.8195, 0, 0, 75, 1, 1, 1, False
724.8445, 0, 0, 75, 1, 1, 1, False
724.8829, 0, 0, 75, 1, 1, 1, False
724.9082, 0, 0, 75, 1, 1, 1, False
724.9338, 0, 0, 75, 1, 1, 1, False
724.9681, 0, 0, 75, 1, 1, 1, False
724.9913, 0, 0, 75, 1, 1, 1, False
725.0221, 0, 0, 75, 1, 1, 1, False
725.0629, 0, 0, 75, 1, 1, 1, False
725.1039, 0, 0, 75, 1, 1, 1, False
725.1325, 0, 0, 75, 1, 1, 1, False
725.1574, 0, 0, 75, 1, 1, 1, False
725.1847, 0, 0, 75, 1, 1, 1, False
725.2134, 0, 0, 75, 1, 1, 1, False
725.2448, 0, 0, 75, 1, 1, 1, False
725.2689, 0, 0, 75, 1, 1, 1, False
725.2916, 0, 0, 75, 1, 1, 1, False
725.3123, 0, 0, 75, 1, 1, 1, False
725.3391, 0, 0, 75, 1, 1, 1, False
725.3741, 0, 0, 75, 1, 1, 1, False
725.4034, 0, 0, 75, 1, 1, 1, False
725.4351, 0, 0, 75, 1, 1, 1, False
725.4688, 0, 0, 75, 1, 1, 1, False
725.4984, 0, 0, 75, 1, 1, 1, False
725.5303, 0, 0, 75, 1, 1, 1, False
725.5649, 0, 0, 75, 1, 1, 1, False
725.5957, 0, 0, 75, 1, 1, 1, False
725.6273, 0, 0, 75, 1, 1, 1, False
725.6623, 0, 0, 75, 1, 1, 1, False
725.7623, 0, 0, 75, 1, 1, 1, False
725.7852, 0, 0, 75, 1, 1, 1, False
725.8085, 0, 0, 75, 1, 1, 1, False
725.83, 0, 0, 75, 1, 1, 1, False
725.8531, 0, 0, 75, 1, 1, 1, False
725.8741, 0, 0, 75, 1, 1, 1, False
725.9025, 0, 0, 75, 1, 1, 1, False
725.9346, 0, 0, 75, 1, 1, 1, False
725.9645, 0, 0, 75, 1, 1, 1, False
725.9967, 0, 0, 75, 1, 1, 1, False
726.0307, 0, 0, 75, 1, 1, 1, False
726.0626, 0, 0, 75, 1, 1, 1, False
726.0931, 0, 0, 75, 1, 1, 1, False
726.1271, 0, 0, 75, 1, 1, 1, False
726.1569, 0, 0, 75, 1, 1, 1, False
726.1902, 0, 0, 75, 1, 1, 1, False
726.2206, 0, 0, 75, 1, 1, 1, False
726.2565, 0, 0, 75, 1, 1, 1, False
726.2864, 0, 0, 75, 1, 1, 1, False
726.3161, 0, 0, 75, 1, 1, 1, False
726.35, 0, 0, 75, 1, 1, 1, False
726.3817, 0, 0, 75, 1, 1, 1, False
726.4137, 0, 0, 75, 1, 1, 1, False
726.4437, 0, 0, 75, 1, 1, 1, False
726.4752, 0, 0, 75, 1, 1, 1, False
726.5092, 0, 0, 75, 1, 1, 1, False
726.5394, 0, 0, 75, 1, 1, 1, False
726.5726, 0, 0, 75, 1, 1, 1, False
726.6032, 0, 0, 75, 1, 1, 1, False
726.6369, 0, 0, 75, 1, 1, 1, False
726.6672, 0, 0, 75, 1, 1, 1, False
726.7672, 0, 0, 75, 1, 1, 1, False
726.7908, 0, 0, 75, 1, 1, 1, False
726.8109, 0, 0, 75, 1, 1, 1, False
726.8304, 0, 0, 75, 1, 1, 1, False
726.8546, 0, 0, 75, 1, 1, 1, False
726.8752, 0, 0, 75, 1, 1, 1, False
726.9088, 0, 0, 75, 1, 1, 1, False
726.9387, 0, 0, 75, 1, 1, 1, False
726.9724, 0, 0, 75, 1, 1, 1, False
727.0039, 0, 0, 75, 1, 1, 1, False
727.0352, 0, 0, 75, 1, 1, 1, False
727.068, 0, 0, 75, 1, 1, 1, False
727.1006, 0, 0, 75, 1, 1, 1, False
727.1322, 0, 0, 75, 1, 1, 1, False
727.1622, 0, 0, 75, 1, 1, 1, False
727.1953, 0, 0, 75, 1, 1, 1, False
727.2252, 0, 0, 75, 1, 1, 1, False
727.2591, 0, 0, 75, 1, 1, 1, False
727.2906, 0, 0, 75, 1, 1, 1, False
727.3227, 0, 0, 75, 1, 1, 1, False
727.3534, 0, 0, 75, 1, 1, 1, False
727.3851, 0, 0, 75, 1, 1, 1, False
727.4189, 0, 0, 75, 1, 1, 1, False
727.451, 0, 0, 75, 1, 1, 1, False
727.4812, 0, 0, 75, 1, 1, 1, False
727.5149, 0, 0, 75, 1, 1, 1, False
727.5447, 0, 0, 75, 1, 1, 1, False
727.5779, 0, 0, 75, 1, 1, 1, False
727.6079, 0, 0, 75, 1, 1, 1, False
727.6417, 0, 0, 75, 1, 1, 1, False
727.6724, 0, 0, 75, 1, 1, 1, False
727.7723, 0, 0, 75, 1, 1, 1, False
727.7922, 0, 0, 75, 1, 1, 1, False
727.8116, 0, 0, 75, 1, 1, 1, False
727.8318, 0, 0, 75, 1, 1, 1, False
727.8516, 0, 0, 75, 1, 1, 1, False
727.8818, 0, 0, 75, 1, 1, 1, False
727.9155, 0, 0, 75, 1, 1, 1, False
727.9453, 0, 0, 75, 1, 1, 1, False
727.9789, 0, 0, 75, 1, 1, 1, False
728.0089, 0, 0, 75, 1, 1, 1, False
728.0428, 0, 0, 75, 1, 1, 1, False
728.0745, 0, 0, 75, 1, 1, 1, False
728.1045, 0, 0, 75, 1, 1, 1, False
728.1387, 0, 0, 75, 1, 1, 1, False
728.1702, 0, 0, 75, 1, 1, 1, False
728.2006, 0, 0, 75, 1, 1, 1, False
728.2339, 0, 0, 75, 1, 1, 1, False
728.2642, 0, 0, 75, 1, 1, 1, False
728.2977, 0, 0, 75, 1, 1, 1, False
728.3276, 0, 0, 75, 1, 1, 1, False
728.3599, 0, 0, 75, 1, 1, 1, False
728.3943, 0, 0, 75, 1, 1, 1, False
728.4261, 0, 0, 75, 1, 1, 1, False
728.4577, 0, 0, 75, 1, 1, 1, False
728.4883, 0, 0, 75, 1, 1, 1, False
728.5217, 0, 0, 75, 1, 1, 1, False
728.5536, 0, 0, 75, 1, 1, 1, False
728.5858, 0, 0, 75, 1, 1, 1, False
728.6177, 0, 0, 75, 1, 1, 1, False
728.6479, 0, 0, 75, 1, 1, 1, False
728.6821, 0, 0, 75, 1, 1, 1, False
728.7821, 0, 0, 75, 1, 1, 1, False
728.804, 0, 0, 75, 1, 1, 1, False
