t 0.5465696, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.550708, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.554701, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5587015, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5626871, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5666256, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5706799, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5746394, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5786241, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5826728, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5866396, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5906091, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5946281, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5985876, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6025327, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6066328, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6107054, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
