t 20.42975, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.52975, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.62975, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.6456, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.6752, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.6791, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.68284, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.68697, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.69088, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.69536, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.69892, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.70292, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.70677, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.71116, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.71484, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.71868, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.72269, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.72696, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.73088, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.73503, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.73951, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.74399, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.74754, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.75155, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.75566, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.75919, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.76276, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.76695, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.77214, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.77618, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.77967, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.78308, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.78705, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.79085, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.79494, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.7989, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.80299, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.80666, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.81091, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.81491, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.819, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.82264, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.82689, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.83082, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.83499, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.83876, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.84296, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.84669, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.85103, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.85486, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.8589, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.86298, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.86695, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.87251, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.87914, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.88299, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.88683, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.89088, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.89473, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.89883, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.903, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.90673, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.91091, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.915, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.91882, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.92286, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.92697, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.93092, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.93493, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.9391, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.9429, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.94696, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.95104, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.95484, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.95893, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.96293, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.96696, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.97238, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.97467, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.97912, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.98289, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.98689, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.99088, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.99497, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 20.99896, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.00286, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.00674, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.01091, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.01493, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.01885, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.02295, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.02697, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.03092, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.03495, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.03892, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.04291, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.04694, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.05101, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.05486, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.05897, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.06291, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.06692, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.07091, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.07489, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.07892, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.08293, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.08696, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.09076, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.09496, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.09893, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.10297, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.10681, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.11093, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.1149, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.11893, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.12289, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.12694, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.13098, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.13489, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.13899, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.14291, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.14691, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.15101, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.1549, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.15899, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.1629, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.16697, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.1709, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.17474, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.17896, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.18288, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.187, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.19087, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.19495, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.19881, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.20272, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.20673, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.21098, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.21494, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.21892, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.22274, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.22692, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.23091, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.23491, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.23897, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.24286, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.24696, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.25101, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.25569, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.25876, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.26303, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.26692, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.27094, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.27484, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.27889, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.28306, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.28715, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.29074, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.29492, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.29892, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.30296, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.30673, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.31086, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.31492, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.31904, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.32324, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.3269, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.33096, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.33497, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.33872, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.34293, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.34699, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.35101, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.35488, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.35898, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.36289, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.36695, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.37069, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.37497, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.37883, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.38296, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.38691, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.39089, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.39495, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.39878, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.40282, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.40674, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.41097, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.41483, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.41901, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.42275, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.42693, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.431, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.43497, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.43887, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.44296, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.4468, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.45101, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.45476, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.45893, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 21.46298, x 26.32639, y -25.26404, z 34.18551, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
