t, stimulusOn
0.02, 2021-06-08T15:03:39.5871640+08:00, False
0.12, 2021-06-08T15:03:40.8154480+08:00, False
0.22, 2021-06-08T15:03:41.4681210+08:00, False
0.2281419, 2021-06-08T15:03:41.4748650+08:00, False
0.232096, 2021-06-08T15:03:41.4788330+08:00, False
0.2368772, 2021-06-08T15:03:41.4836460+08:00, False
0.2402138, 2021-06-08T15:03:41.4872250+08:00, False
0.2439916, 2021-06-08T15:03:41.4907140+08:00, False
0.2498256, 2021-06-08T15:03:41.4965680+08:00, False
0.2576597, 2021-06-08T15:03:41.5044840+08:00, False
0.2650863, 2021-06-08T15:03:41.5121020+08:00, False
0.2729699, 2021-06-08T15:03:41.5196730+08:00, False
0.2806159, 2021-06-08T15:03:41.5276320+08:00, False
0.2882919, 2021-06-08T15:03:41.5350060+08:00, False
0.2975047, 2021-06-08T15:03:41.5443540+08:00, False
0.3046829, 2021-06-08T15:03:41.5517140+08:00, False
0.3121653, 2021-06-08T15:03:41.5588780+08:00, False
0.319276, 2021-06-08T15:03:41.5659840+08:00, False
0.3263918, 2021-06-08T15:03:41.5733630+08:00, False
0.3341154, 2021-06-08T15:03:41.5808290+08:00, False
0.3401379, 2021-06-08T15:03:41.5870790+08:00, False
0.3470734, 2021-06-08T15:03:41.5938430+08:00, False
0.353843, 2021-06-08T15:03:41.6006330+08:00, False
0.3612793, 2021-06-08T15:03:41.6085200+08:00, False
0.3684578, 2021-06-08T15:03:41.6151670+08:00, False
0.3742624, 2021-06-08T15:03:41.6210290+08:00, False
0.3808056, 2021-06-08T15:03:41.6277750+08:00, False
0.3865142, 2021-06-08T15:03:41.6332510+08:00, False
0.3928677, 2021-06-08T15:03:41.6395940+08:00, False
0.4002831, 2021-06-08T15:03:41.6572740+08:00, False
0.416227, 2021-06-08T15:03:41.6629590+08:00, False
0.42034, 2021-06-08T15:03:41.6674080+08:00, False
0.4239071, 2021-06-08T15:03:41.6706150+08:00, False
0.428028, 2021-06-08T15:03:41.6747540+08:00, False
0.4320974, 2021-06-08T15:03:41.6787910+08:00, False
0.4361942, 2021-06-08T15:03:41.6829000+08:00, False
0.4423286, 2021-06-08T15:03:41.6893340+08:00, False
0.4482338, 2021-06-08T15:03:41.6950130+08:00, False
0.453993, 2021-06-08T15:03:41.7008270+08:00, False
0.4600042, 2021-06-08T15:03:41.7078060+08:00, False
0.4642551, 2021-06-08T15:03:41.7110030+08:00, False
0.4698685, 2021-06-08T15:03:41.7166300+08:00, False
0.4759625, 2021-06-08T15:03:41.7226760+08:00, False
0.4814156, 2021-06-08T15:03:41.7283850+08:00, False
