t, stimulusOn
0.7822564, 2021-06-09T17:17:46.8758110+08:00, False
0.786229, 2021-06-09T17:17:46.8794780+08:00, False
0.7901724, 2021-06-09T17:17:46.8834300+08:00, False
0.7941611, 2021-06-09T17:17:46.8873980+08:00, False
0.7981376, 2021-06-09T17:17:46.8914060+08:00, False
0.8021884, 2021-06-09T17:17:46.8956720+08:00, False
0.806327, 2021-06-09T17:17:46.8996150+08:00, False
0.8101715, 2021-06-09T17:17:46.9035310+08:00, False
0.8141959, 2021-06-09T17:17:46.9074540+08:00, False
0.8181881, 2021-06-09T17:17:46.9114560+08:00, False
0.8222112, 2021-06-09T17:17:46.9157370+08:00, False
0.8262503, 2021-06-09T17:17:46.9195310+08:00, False
0.8302003, 2021-06-09T17:17:46.9234650+08:00, False
0.8341906, 2021-06-09T17:17:46.9274590+08:00, False
0.838188, 2021-06-09T17:17:46.9314600+08:00, False
0.84215, 2021-06-09T17:17:46.9356880+08:00, False
0.8461164, 2021-06-09T17:17:46.9393840+08:00, False
0.8500823, 2021-06-09T17:17:46.9433480+08:00, False
0.8545581, 2021-06-09T17:17:46.9478570+08:00, False
0.862276, 2021-06-09T17:17:46.9558090+08:00, False
0.8661616, 2021-06-09T17:17:46.9594220+08:00, False
0.8701484, 2021-06-09T17:17:46.9634150+08:00, False
0.8747159, 2021-06-09T17:17:46.9679650+08:00, False
0.8781798, 2021-06-09T17:17:46.9715050+08:00, False
0.8822984, 2021-06-09T17:17:46.9758400+08:00, False
0.8861331, 2021-06-09T17:17:46.9794050+08:00, False
0.8901508, 2021-06-09T17:17:46.9834150+08:00, False
0.894161, 2021-06-09T17:17:46.9874330+08:00, False
0.8982286, 2021-06-09T17:17:46.9914730+08:00, False
0.9022016, 2021-06-09T17:17:46.9957780+08:00, False
0.9063121, 2021-06-09T17:17:46.9995860+08:00, False
0.910126, 2021-06-09T17:17:47.0034210+08:00, False
0.9141036, 2021-06-09T17:17:47.0073690+08:00, False
0.91816, 2021-06-09T17:17:47.0114240+08:00, False
0.9222679, 2021-06-09T17:17:47.0160190+08:00, False
0.9262134, 2021-06-09T17:17:47.0194600+08:00, False
0.930257, 2021-06-09T17:17:47.0235220+08:00, False
0.9340711, 2021-06-09T17:17:47.0273460+08:00, False
0.9383227, 2021-06-09T17:17:47.0316090+08:00, False
0.9424138, 2021-06-09T17:17:47.0359690+08:00, False
0.9462566, 2021-06-09T17:17:47.0395420+08:00, False
0.9502009, 2021-06-09T17:17:47.0434650+08:00, False
0.9542425, 2021-06-09T17:17:47.0475090+08:00, False
0.9580598, 2021-06-09T17:17:47.0513310+08:00, False
0.9622673, 2021-06-09T17:17:47.0557550+08:00, False
0.9661325, 2021-06-09T17:17:47.0593780+08:00, False
0.9701703, 2021-06-09T17:17:47.0634720+08:00, False
0.9748844, 2021-06-09T17:17:47.0681750+08:00, False
0.9824474, 2021-06-09T17:17:47.0759840+08:00, False
0.986288, 2021-06-09T17:17:47.0796270+08:00, False
0.9901553, 2021-06-09T17:17:47.0834300+08:00, False
0.994157, 2021-06-09T17:17:47.0874220+08:00, False
0.9984903, 2021-06-09T17:17:47.0917550+08:00, False
1.002201, 2021-06-09T17:17:47.0956910+08:00, False
1.006167, 2021-06-09T17:17:47.0994970+08:00, False
1.010368, 2021-06-09T17:17:47.1036450+08:00, False
1.01414, 2021-06-09T17:17:47.1074090+08:00, False
1.01817, 2021-06-09T17:17:47.1114250+08:00, False
1.022377, 2021-06-09T17:17:47.1160110+08:00, False
1.026267, 2021-06-09T17:17:47.1195600+08:00, False
1.030188, 2021-06-09T17:17:47.1234560+08:00, False
1.034182, 2021-06-09T17:17:47.1274280+08:00, False
1.038228, 2021-06-09T17:17:47.1315020+08:00, False
1.042138, 2021-06-09T17:17:47.1357610+08:00, False
1.046431, 2021-06-09T17:17:47.1397100+08:00, False
