t 0.02, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.32, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3265806, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3316324, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3388149, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3467322, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3505306, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3544251, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3584339, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.36256, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3664539, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3706191, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3744948, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3784889, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3826111, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3864972, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3904507, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.394341, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3985664, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4023997, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.406544, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4103372, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.414538, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4182845, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4225466, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4263901, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4305413, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.434273, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4385042, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.442807, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4463303, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4505819, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4543195, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4586071, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4624161, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4665706, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4704382, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4744255, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4785197, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4822991, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.486458, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4904054, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4943749, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4985093, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5023908, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5065377, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5102569, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5145724, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5185415, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5224964, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5265518, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.530435, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5342935, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5385511, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5425603, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.546482, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5502937, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5542595, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5584998, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5623065, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5664477, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5704532, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5743144, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5784795, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5824463, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5864064, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5904133, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5944536, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5986084, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6025252, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6063773, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6103535, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6145544, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6185343, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6221948, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6265706, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6304433, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6342618, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6385478, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6422697, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6464775, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6504365, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6543672, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6582909, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6625414, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6662914, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6704395, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6742883, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6783553, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.682287, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6863111, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6906379, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6943895, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6984962, x 0, y 0, z 10, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
