t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
29.52276, 2021-08-27T14:53:09.3175300+08:00, 0, 300, 0, 1, 1, 1, True
29.53009, 2021-08-27T14:53:09.3246760+08:00, 0, 300, 0, 1, 1, 1, True
29.53403, 2021-08-27T14:53:09.3286060+08:00, 0, 300, 0, 1, 1, 1, True
29.53821, 2021-08-27T14:53:09.3328030+08:00, 0, 300, 0, 1, 1, 1, True
29.54205, 2021-08-27T14:53:09.3366620+08:00, 0, 300, 0, 1, 1, 1, True
29.54621, 2021-08-27T14:53:09.3407910+08:00, 0, 300, 0, 1, 1, 1, True
29.5501, 2021-08-27T14:53:09.3446840+08:00, 0, 300, 0, 1, 1, 1, True
29.55411, 2021-08-27T14:53:09.3486860+08:00, 0, 300, 0, 1, 1, 1, True
29.55819, 2021-08-27T14:53:09.3527740+08:00, 0, 300, 0, 1, 1, 1, True
29.56625, 2021-08-27T14:53:09.3609340+08:00, 0, 300, 0, 1, 1, 1, True
29.57036, 2021-08-27T14:53:09.3650390+08:00, 0, 300, 0, 1, 1, 1, True
29.57401, 2021-08-27T14:53:09.3685690+08:00, 0, 300, 0, 1, 1, 1, True
29.5782, 2021-08-27T14:53:09.3727700+08:00, 0, 300, 0, 1, 1, 1, True
29.58209, 2021-08-27T14:53:09.3767100+08:00, 0, 300, 0, 1, 1, 1, True
29.58605, 2021-08-27T14:53:09.3806390+08:00, 0, 300, 0, 1, 1, 1, True
29.59008, 2021-08-27T14:53:09.3846650+08:00, 0, 300, 0, 1, 1, 1, True
29.59418, 2021-08-27T14:53:09.3887470+08:00, 0, 300, 0, 1, 1, 1, True
29.59812, 2021-08-27T14:53:09.3927010+08:00, 0, 300, 0, 1, 1, 1, True
29.60228, 2021-08-27T14:53:09.3969020+08:00, 0, 300, 0, 1, 1, 1, True
29.60606, 2021-08-27T14:53:09.4006300+08:00, 0, 300, 0, 1, 1, 1, True
29.61032, 2021-08-27T14:53:09.4049040+08:00, 0, 300, 0, 1, 1, 1, True
29.61401, 2021-08-27T14:53:09.4085990+08:00, 0, 300, 0, 1, 1, 1, True
29.61808, 2021-08-27T14:53:09.4126630+08:00, 0, 300, 0, 1, 1, 1, True
29.62205, 2021-08-27T14:53:09.4166840+08:00, 0, 300, 0, 1, 1, 1, True
29.62619, 2021-08-27T14:53:09.4207630+08:00, 0, 300, 0, 1, 1, 1, True
29.63016, 2021-08-27T14:53:09.4247400+08:00, 0, 300, 0, 1, 1, 1, True
29.6706, 2021-08-27T14:53:09.4652880+08:00, 0, 300, 0, 1, 1, 1, True
29.71427, 2021-08-27T14:53:09.5089530+08:00, 0, 300, 0, 1, 1, 1, True
29.72249, 2021-08-27T14:53:09.5171480+08:00, 0, 300, 0, 1, 1, 1, True
29.72614, 2021-08-27T14:53:09.5207260+08:00, 0, 300, 0, 1, 1, 1, True
29.73003, 2021-08-27T14:53:09.5246760+08:00, 0, 300, 0, 1, 1, 1, True
29.73437, 2021-08-27T14:53:09.5289810+08:00, 0, 300, 0, 1, 1, 1, True
29.73814, 2021-08-27T14:53:09.5327270+08:00, 0, 300, 0, 1, 1, 1, True
29.74215, 2021-08-27T14:53:09.5367770+08:00, 0, 300, 0, 1, 1, 1, True
29.74612, 2021-08-27T14:53:09.5407180+08:00, 0, 300, 0, 1, 1, 1, True
29.75021, 2021-08-27T14:53:09.5447880+08:00, 0, 300, 0, 1, 1, 1, True
29.7541, 2021-08-27T14:53:09.5487230+08:00, 0, 300, 0, 1, 1, 1, True
29.75819, 2021-08-27T14:53:09.5527830+08:00, 0, 300, 0, 1, 1, 1, True
29.76222, 2021-08-27T14:53:09.5568820+08:00, 0, 300, 0, 1, 1, 1, True
29.76612, 2021-08-27T14:53:09.5606940+08:00, 0, 300, 0, 1, 1, 1, True
29.77011, 2021-08-27T14:53:09.5646900+08:00, 0, 300, 0, 1, 1, 1, True
29.77414, 2021-08-27T14:53:09.5687060+08:00, 0, 300, 0, 1, 1, 1, True
29.77809, 2021-08-27T14:53:09.5727440+08:00, 0, 300, 0, 1, 1, 1, True
29.78201, 2021-08-27T14:53:09.5766280+08:00, 0, 300, 0, 1, 1, 1, True
29.78613, 2021-08-27T14:53:09.5807170+08:00, 0, 300, 0, 1, 1, 1, True
29.78998, 2021-08-27T14:53:09.5845500+08:00, 0, 300, 0, 1, 1, 1, True
29.79412, 2021-08-27T14:53:09.5887020+08:00, 0, 300, 0, 1, 1, 1, True
29.79801, 2021-08-27T14:53:09.5926110+08:00, 0, 300, 0, 1, 1, 1, True
29.80211, 2021-08-27T14:53:09.5967200+08:00, 0, 300, 0, 1, 1, 1, True
29.80613, 2021-08-27T14:53:09.6007090+08:00, 0, 300, 0, 1, 1, 1, True
29.81015, 2021-08-27T14:53:09.6047370+08:00, 0, 300, 0, 1, 1, 1, True
29.81414, 2021-08-27T14:53:09.6087720+08:00, 0, 300, 0, 1, 1, 1, True
29.81799, 2021-08-27T14:53:09.6125660+08:00, 0, 300, 0, 1, 1, 1, True
29.82228, 2021-08-27T14:53:09.6168970+08:00, 0, 300, 0, 1, 1, 1, True
29.82604, 2021-08-27T14:53:09.6206160+08:00, 0, 300, 0, 1, 1, 1, True
29.83005, 2021-08-27T14:53:09.6246370+08:00, 0, 300, 0, 1, 1, 1, True
29.83425, 2021-08-27T14:53:09.6288360+08:00, 0, 300, 0, 1, 1, 1, True
29.83801, 2021-08-27T14:53:09.6325910+08:00, 0, 300, 0, 1, 1, 1, True
29.84217, 2021-08-27T14:53:09.6367740+08:00, 0, 300, 0, 1, 1, 1, True
29.84603, 2021-08-27T14:53:09.6406140+08:00, 0, 300, 0, 1, 1, 1, True
29.85014, 2021-08-27T14:53:09.6447310+08:00, 0, 300, 0, 1, 1, 1, True
29.85396, 2021-08-27T14:53:09.6485250+08:00, 0, 300, 0, 1, 1, 1, True
29.85817, 2021-08-27T14:53:09.6527560+08:00, 0, 300, 0, 1, 1, 1, True
29.86208, 2021-08-27T14:53:09.6566820+08:00, 0, 300, 0, 1, 1, 1, True
29.86612, 2021-08-27T14:53:09.6607020+08:00, 0, 300, 0, 1, 1, 1, True
29.87008, 2021-08-27T14:53:09.6646740+08:00, 0, 300, 0, 1, 1, 1, True
29.87411, 2021-08-27T14:53:09.6686930+08:00, 0, 300, 0, 1, 1, 1, True
29.87811, 2021-08-27T14:53:09.6726980+08:00, 0, 300, 0, 1, 1, 1, True
29.88211, 2021-08-27T14:53:09.6767030+08:00, 0, 300, 0, 1, 1, 1, True
29.88611, 2021-08-27T14:53:09.6806960+08:00, 0, 300, 0, 1, 1, 1, True
