t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 2021-07-05T15:11:51.4668260+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.12, 2021-07-05T15:11:52.4909640+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.22, 2021-07-05T15:11:52.6764440+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.2961826, 2021-07-05T15:11:52.7526420+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.30798, 2021-07-05T15:11:52.7642830+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3216204, 2021-07-05T15:11:52.7780640+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3361288, 2021-07-05T15:11:52.7925170+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3503696, 2021-07-05T15:11:52.8066750+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3730223, 2021-07-05T15:11:52.8297510+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.3949636, 2021-07-05T15:11:52.8515240+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4219882, 2021-07-05T15:11:52.8787000+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4476099, 2021-07-05T15:11:52.9043690+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4735149, 2021-07-05T15:11:52.9303600+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.4966768, 2021-07-05T15:11:52.9534290+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5200973, 2021-07-05T15:11:52.9766330+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5393353, 2021-07-05T15:11:52.9954130+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5475053, 2021-07-05T15:11:53.0035910+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5558013, 2021-07-05T15:11:53.0117950+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5634201, 2021-07-05T15:11:53.0194490+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5706583, 2021-07-05T15:11:53.0267230+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5789039, 2021-07-05T15:11:53.0349270+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5857719, 2021-07-05T15:11:53.0419970+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.5931193, 2021-07-05T15:11:53.0491840+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.6012363, 2021-07-05T15:11:53.0573410+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.6087158, 2021-07-05T15:11:53.0647060+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.6155178, 2021-07-05T15:11:53.0715470+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.6229053, 2021-07-05T15:11:53.0789780+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.6298789, 2021-07-05T15:11:53.0859350+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
0.6368477, 2021-07-05T15:11:53.0928640+08:00, 0, 8.682408, 49.24039, 1, 1, 1, False
