t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x -13.39967, y -1.265229, z 48.15442, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.32, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3895623, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4425321, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.494297, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5523285, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.618799, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7053437, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7862419, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8547825, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9352112, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.028388, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.093176, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.159582, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.259582, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.332685, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.394244, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.456165, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.52, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.58827, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.634705, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.669572, x -13.39996, y -1.221609, z 48.15546, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
