t 0.02, x 18.26352, y 0, z 9.848078, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.32, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.331237, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3424412, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3506227, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.358391, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3662865, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3745533, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3825727, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3862866, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3903603, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3942619, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3981946, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4022232, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4061878, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4102924, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4143705, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4181751, x 15.72721, y -0.1919744, z 9.03916, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
