t 24.17596, x -19.95115, y 5.139618, z 45.55805, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.17992, x -19.75039, y 5.183019, z 45.64054, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.18378, x -19.75039, y 5.183019, z 45.64054, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.18792, x -19.75039, y 5.183019, z 45.64054, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.19196, x -19.51114, y 5.183019, z 45.74332, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.19592, x -19.51114, y 5.183019, z 45.74332, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.19993, x -19.51114, y 5.183019, z 45.74332, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.20388, x -19.27137, y 5.183019, z 45.84486, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.208, x -19.27137, y 5.183019, z 45.84486, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.21198, x -19.27137, y 5.183019, z 45.84486, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.21582, x -19.19132, y 5.183019, z 45.87842, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.21986, x -19.19132, y 5.183019, z 45.87842, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.22365, x -19.11122, y 5.183018, z 45.91185, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.22805, x -19.03106, y 5.183019, z 45.94513, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.2317, x -19.03106, y 5.183019, z 45.94513, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.23598, x -18.75004, y 5.183019, z 46.06053, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.23985, x -18.75004, y 5.183019, z 46.06053, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.24403, x -18.75004, y 5.183019, z 46.06053, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.24786, x -18.50692, y 5.226415, z 46.15385, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.25188, x -18.50692, y 5.226415, z 46.15385, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.25589, x -18.50692, y 5.226415, z 46.15385, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.26005, x -18.42634, y 5.226415, z 46.18608, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.26367, x -18.42634, y 5.226415, z 46.18608, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.26766, x -18.42634, y 5.226415, z 46.18608, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.27194, x -18.18426, y 5.226415, z 46.28193, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.27591, x -18.18426, y 5.226415, z 46.28193, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
