t, stimulusOn
16.88428, False
16.88763, False
16.89215, False
16.89584, False
16.89974, False
16.90383, False
16.90817, False
16.912, False
16.92061, False
17.02061, False
17.02477, False
17.02865, False
17.03313, False
17.04097, False
17.04965, False
17.05258, False
17.05699, False
17.06073, False
17.06439, False
17.06869, False
17.07292, False
17.07874, False
17.08575, False
17.09293, False
17.09868, False
17.1052, False
17.11032, False
17.11659, False
17.12205, False
17.1287, False
17.13465, False
17.14085, False
17.14609, False
17.15278, False
17.1582, False
17.16482, False
17.16928, False
17.17416, False
17.17961, False
17.18622, False
17.1928, False
17.19827, False
17.20482, False
17.20919, False
17.2148, False
17.22085, False
17.22569, False
17.23098, False
17.23726, False
17.24496, False
17.25265, False
17.25641, False
17.26056, False
17.26608, False
17.27096, False
17.27659, False
17.283, False
17.28865, False
17.29431, False
17.3009, False
17.30552, False
17.31131, False
17.31677, False
17.32201, False
17.32859, False
17.33282, False
17.33888, False
17.34511, False
17.3515, False
17.35667, False
17.36215, False
17.38063, False
17.3849, False
17.389, False
17.39743, False
17.40481, False
17.40849, False
17.41249, False
17.4165, False
17.4207, False
17.4243, False
17.42872, False
17.43475, False
17.44099, False
17.4458, False
17.45285, False
17.45679, False
17.46206, False
17.47098, False
17.53686, False
17.54154, False
17.54891, False
17.55687, False
17.56048, False
17.56459, False
17.56839, False
17.57249, False
17.57652, False
17.58051, False
17.58483, False
17.58848, False
17.59752, False
17.60484, False
17.60861, False
17.61255, False
17.61675, False
17.62065, False
17.62552, False
17.6308, False
17.63733, False
17.64512, False
17.6527, False
17.66079, False
17.66521, False
17.66857, False
17.6727, False
17.6778, False
17.68357, False
17.68944, False
17.6973, False
17.70485, False
17.70846, False
17.71266, False
17.71807, False
17.72456, False
17.72948, False
17.73489, False
17.74149, False
17.74954,
