t 0.02, x 0, y -0.08726642, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x -0.04363281, y -0.2181655, z 49.9995, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 12.38822, y -20.73466, z 43.77906, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2272316, x 12.70624, y -20.93299, z 43.59314, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2299109, x 12.70624, y -20.93299, z 43.59314, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2345663, x 13.16254, y -21.20997, z 43.32302, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2383119, x 13.16254, y -21.20997, z 43.32302, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2424162, x 13.16254, y -21.20997, z 43.32302, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2511465, x 13.64573, y -21.52555, z 43.01679, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2613154, x 13.94805, y -21.76155, z 42.80054, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2663464, x 14.31559, y -22.03613, z 42.5379, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2701276, x 14.67882, y -22.30989, z 42.27057, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2740338, x 14.67882, y -22.30989, z 42.27057, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.278211, x 15.03768, y -22.58281, z 41.99863, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2820927, x 15.03768, y -22.58281, z 41.99863, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2862004, x 15.03768, y -22.58281, z 41.99863, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2900639, x 15.65477, y -23.00999, z 41.53876, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2939629, x 15.65477, y -23.00999, z 41.53876, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2982057, x 15.65477, y -23.00999, z 41.53876, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3021407, x 16.05886, y -23.35792, z 41.18884, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3060591, x 16.05886, y -23.35792, z 41.18884, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3099497, x 16.05886, y -23.35792, z 41.18884, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3141635, x 16.46373, y -23.66599, z 40.85176, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3182316, x 16.46373, y -23.66599, z 40.85176, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3222795, x 16.8622, y -23.97289, z 40.50885, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3276197, x 17.25418, y -24.27864, z 40.16019, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3298409, x 17.25418, y -24.27864, z 40.16019, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3342255, x 17.67429, y -24.58319, z 39.79053, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3382114, x 17.67429, y -24.58319, z 39.79053, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3419232, x 17.67429, y -24.58319, z 39.79053, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.346135, x 18.59454, y -25.1887, z 38.98426, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3502078, x 18.59454, y -25.1887, z 38.98426, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3541462, x 18.59454, y -25.1887, z 38.98426, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3584056, x 19.05865, y -25.48962, z 38.56225, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3983474, x 20.43944, y -26.34779, z 37.25618, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
