t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 16.48759, y -18.28446, z 43.51825, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 16.48759, y -18.28446, z 43.51825, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2969092, x 16.49324, y -18.24384, z 43.53315, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3055899, x 16.82706, y -17.18299, z 43.836, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3141044, x 17.0005, y -16.73147, z 43.94361, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3198521, x 17.13974, y -16.23715, z 44.07476, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3231118, x 17.13974, y -16.23715, z 44.07476, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3276814, x 17.24227, y -16.03065, z 44.11034, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3312417, x 17.24227, y -16.03065, z 44.11034, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.335353, x 17.24227, y -16.03065, z 44.11034, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3392965, x 17.41826, y -15.53382, z 44.21883, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3459601, x 17.41826, y -15.53382, z 44.21883, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3516244, x 17.56396, y -14.95204, z 44.36151, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3553859, x 17.56396, y -14.95204, z 44.36151, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3608558, x 17.56396, y -14.95204, z 44.36151, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3656258, x 17.56396, y -14.95204, z 44.36151, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.37233, x 17.72819, y -13.44599, z 44.77629, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3776236, x 17.87492, y -11.92667, z 45.14689, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3835603, x 17.82988, y -11.54495, z 45.26378, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3878317, x 17.82988, y -11.54495, z 45.26378, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3932371, x 17.6197, y -10.73677, z 45.54413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3997498, x 17.40199, y -9.925638, z 45.81105, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4031818, x 17.40199, y -9.925638, z 45.81105, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4085272, x 17.13676, y -9.111777, z 46.07936, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
