t 17.4143, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.41858, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.42231, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.4265, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.43019, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.43432, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.43829, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.44251, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.44625, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.45049, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.45452, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.45841, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.46246, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.46625, x 0.04363323, y 0, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.47045, x 0.04363323, y 0, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.4745, x 0.04363323, y 0, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.47823, x 0.08726642, y 0, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.48266, x 0.08726642, y 0, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.48636, x 0.08726642, y 0, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.49047, x 0.08726642, y 0, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.49448, x 0.08726642, y 0, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.4984, x 0.1308995, y 0, z 49.99983, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.50237, x 0.1308995, y 0, z 49.99983, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.50637, x 0.1308995, y 0, z 49.99983, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.51048, x 0.2181655, y 0, z 49.99952, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.51437, x 0.2181655, y 0, z 49.99952, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.5184, x 0.2181655, y 0, z 49.99952, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.52246, x 0.2617982, y 0, z 49.99931, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.52643, x 0.2617982, y 0, z 49.99931, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.5305, x 0.2617982, y 0, z 49.99931, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.53446, x 0.349063, y 0, z 49.99878, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.53839, x 0.349063, y 0, z 49.99878, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.54244, x 0.349063, y 0, z 49.99878, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.54644, x 0.392695, y 0, z 49.99846, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.55048, x 0.392695, y 0, z 49.99846, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.63435, x 0.523589, y 0.04363323, z 49.99724, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.63835, x 0.523589, y 0.04363323, z 49.99724, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.64243, x 0.523589, y 0.04363323, z 49.99724, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.64652, x 0.5671983, y 0.4363267, z 49.99488, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.65027, x 0.5671983, y 0.4363267, z 49.99488, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.65447, x 0.5671983, y 0.4363267, z 49.99488, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.65844, x 0.5235444, y 0.6544798, z 49.99297, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.66256, x 0.5235444, y 0.6544798, z 49.99297, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.6662, x 0.5235444, y 0.6544798, z 49.99297, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.67048, x 0.3053522, y 1.134367, z 49.9862, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.67435, x 0.3053522, y 1.134367, z 49.9862, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.67858, x 0.04361171, y 1.570538, z 49.97531, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.6824, x 0.04361171, y 1.570538, z 49.97531, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.68637, x 0.04361171, y 1.570538, z 49.97531, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.69048, x -0.4359114, y 2.180969, z 49.95051, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.69444, x -0.4359114, y 2.180969, z 49.95051, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.69846, x -0.4359114, y 2.180969, z 49.95051, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.70249, x -0.9584675, y 2.70394, z 49.91763, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.70633, x -0.9584675, y 2.70394, z 49.91763, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.71054, x -0.9584675, y 2.70394, z 49.91763, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.71448, x -0.9584675, y 2.70394, z 49.91763, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.71844, x -0.9584675, y 2.70394, z 49.91763, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.72241, x -0.9584675, y 2.70394, z 49.91763, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.72643, x -2.348222, y 3.879454, z 49.79393, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 17.73047, x -2.348222, y 3.879454, z 49.79393, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
