t, stimulusOn
12.85623, 2021-06-08T14:39:34.7102750+08:00, True
12.86065, 2021-06-08T14:39:34.7149910+08:00, True
12.86418, 2021-06-08T14:39:34.7182080+08:00, True
12.87248, 2021-06-08T14:39:34.7265460+08:00, True
12.88047, 2021-06-08T14:39:34.7372890+08:00, True
12.88842, 2021-06-08T14:39:34.7424540+08:00, True
12.89235, 2021-06-08T14:39:34.7463770+08:00, True
12.89672, 2021-06-08T14:39:34.7507660+08:00, True
12.90043, 2021-06-08T14:39:34.7547380+08:00, True
12.9046, 2021-06-08T14:39:34.7586840+08:00, True
12.90852, 2021-06-08T14:39:34.7626000+08:00, True
12.91237, 2021-06-08T14:39:34.7664080+08:00, True
12.9163, 2021-06-08T14:39:34.7703130+08:00, True
12.92072, 2021-06-08T14:39:34.7849890+08:00, True
12.93665, 2021-06-08T14:39:34.7907460+08:00, True
12.94048, 2021-06-08T14:39:34.7948080+08:00, True
12.94464, 2021-06-08T14:39:34.7986700+08:00, True
12.95251, 2021-06-08T14:39:34.8066230+08:00, True
12.96477, 2021-06-08T14:39:34.8192130+08:00, True
12.97278, 2021-06-08T14:39:34.8268620+08:00, True
12.97643, 2021-06-08T14:39:34.8304790+08:00, True
12.98036, 2021-06-08T14:39:34.8370290+08:00, True
12.98857, 2021-06-08T14:39:34.8426110+08:00, True
12.99232, 2021-06-08T14:39:34.8463480+08:00, True
12.99664, 2021-06-08T14:39:34.8506880+08:00, True
13.00027, 2021-06-08T14:39:34.8545570+08:00, True
13.00431, 2021-06-08T14:39:34.8583650+08:00, True
13.00869, 2021-06-08T14:39:34.8627570+08:00, True
13.01241, 2021-06-08T14:39:34.8664390+08:00, True
13.01628, 2021-06-08T14:39:34.8702970+08:00, True
13.02063, 2021-06-08T14:39:34.8768570+08:00, True
13.02829, 2021-06-08T14:39:34.8823500+08:00, True
13.03224, 2021-06-08T14:39:34.8862840+08:00, True
13.03636, 2021-06-08T14:39:34.8904870+08:00, True
13.04147, 2021-06-08T14:39:34.8957800+08:00, True
13.04678, 2021-06-08T14:39:34.9008230+08:00, True
13.11337, 2021-06-08T14:39:34.9682300+08:00, True
13.12295, 2021-06-08T14:39:34.9850150+08:00, True
13.1364, 2021-06-08T14:39:34.9905280+08:00, True
13.14031, 2021-06-08T14:39:34.9946370+08:00, True
13.14465, 2021-06-08T14:39:34.9987210+08:00, True
13.14826, 2021-06-08T14:39:35.0023090+08:00, True
13.15219, 2021-06-08T14:39:35.0062300+08:00, True
13.15633, 2021-06-08T14:39:35.0104080+08:00, True
13.16445, 2021-06-08T14:39:35.0188120+08:00, True
13.16825, 2021-06-08T14:39:35.0223160+08:00, True
13.17241, 2021-06-08T14:39:35.0264750+08:00, True
13.17632, 2021-06-08T14:39:35.0303770+08:00, True
13.18023, 2021-06-08T14:39:35.0346440+08:00, True
13.1888, 2021-06-08T14:39:35.0429020+08:00, True
13.19224, 2021-06-08T14:39:35.0462830+08:00, True
13.1967, 2021-06-08T14:39:35.0507220+08:00, True
13.2004, 2021-06-08T14:39:35.0546910+08:00, True
13.20442, 2021-06-08T14:39:35.0584800+08:00, True
13.21023, 2021-06-08T14:39:35.0643710+08:00, True
13.21656, 2021-06-08T14:39:35.0706110+08:00, True
13.22144, 2021-06-08T14:39:35.0857200+08:00, True
13.2365, 2021-06-08T14:39:35.0905840+08:00, True
13.24445, 2021-06-08T14:39:35.0988210+08:00, True
13.24844, 2021-06-08T14:39:35.1024900+08:00, True
13.25237, 2021-06-08T14:39:35.1064230+08:00, True
13.2563, 2021-06-08T14:39:35.1103230+08:00, True
13.26045, 2021-06-08T14:39:35.1147520+08:00, True
13.26416, 2021-06-08T14:39:35.1181830+08:00, True
13.26855, 2021-06-08T14:39:35.1227480+08:00, True
13.27672, 2021-06-08T14:39:35.1308280+08:00, True
13.2847, 2021-06-08T14:39:35.1390150+08:00, True
13.28831, 2021-06-08T14:39:35.1423610+08:00, True
13.29233, 2021-06-08T14:39:35.1463580+08:00, True
13.29657, 2021-06-08T14:39:35.1506030+08:00, True
13.30034, 2021-06-08T14:39:35.1546590+08:00, True
13.30538, 2021-06-08T14:39:35.1595160+08:00, True
13.31247, 2021-06-08T14:39:35.1665670+08:00, True
13.3163, 2021-06-08T14:39:35.1703800+08:00, True
13.32185, 2021-06-08T14:39:35.1813160+08:00, True
13.33259, 2021-06-08T14:39:35.1866880+08:00, True
13.33626, 2021-06-08T14:39:35.1903250+08:00, True
13.34031, 2021-06-08T14:39:35.1946260+08:00, True
13.34467, 2021-06-08T14:39:35.1987250+08:00, True
13.3506, 2021-06-08T14:39:35.2046530+08:00, True
13.35652, 2021-06-08T14:39:35.2105880+08:00, True
13.36151, 2021-06-08T14:39:35.2158850+08:00
