t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
0.02, 2021-08-25T16:25:28.1511160+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.12, 2021-08-25T16:25:29.0325830+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.22, 2021-08-25T16:25:29.2467110+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.2979366, 2021-08-25T16:25:29.3269740+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3216877, 2021-08-25T16:25:29.3501990+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3328721, 2021-08-25T16:25:29.3591030+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3450461, 2021-08-25T16:25:29.3718540+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.361196, 2021-08-25T16:25:29.3879940+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3732288, 2021-08-25T16:25:29.3999350+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3868415, 2021-08-25T16:25:29.4136240+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.3966869, 2021-08-25T16:25:29.4233380+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4082177, 2021-08-25T16:25:29.4350180+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4216996, 2021-08-25T16:25:29.4481290+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4332157, 2021-08-25T16:25:29.4598500+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4451713, 2021-08-25T16:25:29.4721140+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4571033, 2021-08-25T16:25:29.4839640+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4699285, 2021-08-25T16:25:29.4965470+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4805799, 2021-08-25T16:25:29.5069970+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.4943226, 2021-08-25T16:25:29.5209050+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5071898, 2021-08-25T16:25:29.5339980+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5354813, 2021-08-25T16:25:29.5622990+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5438693, 2021-08-25T16:25:29.5700760+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
0.5476945, 2021-08-25T16:25:29.5738430+08:00, -25.65151, 0, 70.47694, 1, 1, 1, 0, 3.420202, 9.396926, 1, 1, 1, True
