t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, -0.06544496, -0.916275, 74.99438, 1, 1, 1, True
0.12, 0.4580306, -1.832413, 74.97621, 1, 1, 1, True
0.22, 0.7690866, -15.20905, 73.43768, 1, 1, 1, True
0.2291465, 0.06374134, -17.12631, 73.01839, 1, 1, 1, True
0.2344323, 2.07473E-05, -17.19003, 73.00344, 1, 1, 1, True
0.2383486, -0.317917, -17.76286, 72.86549, 1, 1, 1, True
0.2424423, -0.3179058, -17.76287, 72.86549, 1, 1, 1, True
0.2464476, -0.3179058, -17.76287, 72.86549, 1, 1, 1, True
0.2505959, -0.3179058, -17.76287, 72.86549, 1, 1, 1, True
0.2543711, -0.3178381, -17.82645, 72.84996, 1, 1, 1, True
0.2615027, -0.3178381, -17.82645, 72.84996, 1, 1, 1, True
0.2701409, -0.3178381, -17.82645, 72.84996, 1, 1, 1, True
0.276656, -0.3178381, -17.82646, 72.84996, 1, 1, 1, True
0.2836222, -0.3177701, -17.89003, 72.83437, 1, 1, 1, True
0.2905822, -0.3177701, -17.89003, 72.83437, 1, 1, 1, True
0.2982267, -0.3177701, -17.89003, 72.83437, 1, 1, 1, True
0.3042816, -0.381326, -17.89003, 72.83407, 1, 1, 1, True
0.310773, -0.444847, -17.89003, 72.83371, 1, 1, 1, True
0.3176568, -0.444847, -17.89003, 72.83371, 1, 1, 1, True
0.3236821, -0.444847, -17.89003, 72.83371, 1, 1, 1, True
0.3306195, -0.444847, -17.89004, 72.83371, 1, 1, 1, True
0.3364462, -0.444847, -17.89004, 72.83371, 1, 1, 1, True
0.3428243, -0.444847, -17.89004, 72.8337, 1, 1, 1, True
0.3493434, -0.444847, -17.89004, 72.8337, 1, 1, 1, True
0.35472, -0.444847, -17.89004, 72.8337, 1, 1, 1, True
0.3610954, -0.444847, -17.89004, 72.8337, 1, 1, 1, True
0.3665623, -0.444847, -17.89004, 72.8337, 1, 1, 1, True
0.3726451, -0.444847, -17.89005, 72.8337, 1, 1, 1, True
0.3785888, -0.444847, -17.89005, 72.8337, 1, 1, 1, True
0.3843945, -0.444847, -17.89005, 72.8337, 1, 1, 1, True
0.3907552, -0.444847, -17.89005, 72.8337, 1, 1, 1, True
