t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 0, y -0.1308995, z 49.99983, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2993803, x -0.9996783, y -4.357787, z 49.7997, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3477266, x -1.344036, y -5.573446, z 49.67022, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3516579, x -1.642026, y -6.872227, z 49.49825, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3560623, x -1.684184, y -7.088256, z 49.46635, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3602878, x -1.726255, y -7.304152, z 49.43348, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3684001, x -1.725355, y -7.476767, z 49.4077, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3783315, x -1.767526, y -7.649291, z 49.3798, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.383315, x -1.809628, y -7.821723, z 49.35125, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3874712, x -1.851659, y -7.994059, z 49.32207, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3914165, x -1.851659, y -7.994059, z 49.32207, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.395354, x -1.89389, y -8.123246, z 49.29935, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3999787, x -1.89389, y -8.123246, z 49.29935, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4034746, x -1.935501, y -8.338436, z 49.2618, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4085461, x -1.935501, y -8.338436, z 49.2618, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4143848, x -1.977606, y -8.467474, z 49.23811, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4197263, x -1.97701, y -8.553467, z 49.22326, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4245957, x -1.97701, y -8.553467, z 49.22326, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.431581, x -2.01904, y -8.682406, z 49.19898, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4355269, x -2.061014, y -8.811288, z 49.17432, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4403823, x -2.061014, y -8.811288, z 49.17432, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4449283, x -2.060041, y -8.940107, z 49.1511, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.451611, x -2.101586, y -9.111773, z 49.11781, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4556987, x -2.101586, y -9.111773, z 49.11781, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4602538, x -2.143751, y -9.197565, z 49.09999, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4655284, x -2.143751, y -9.197565, z 49.09999, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4715795, x -2.143401, y -9.240449, z 49.09195, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4755492, x -2.143401, y -9.240449, z 49.09195, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4799787, x -2.143401, y -9.240449, z 49.09195, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4842372, x -2.143048, y -9.283328, z 49.08388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.488593, x -2.143048, y -9.283328, z 49.08388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4929203, x -2.143048, y -9.283328, z 49.08388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4978424, x -2.143048, y -9.283328, z 49.08388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.503664, x -2.143048, y -9.283328, z 49.08388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.507534, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5115206, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5160202, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5201896, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.524399, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.529163, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5331234, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5372631, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5436928, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5471868, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5514284, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5554022, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5592936, x -2.142694, y -9.3262, z 49.07577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5633451, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5674915, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5713696, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.575417, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5792145, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5835432, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5873967, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5914619, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5953549, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5994455, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6033894, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6074169, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.611193, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6155043, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6192291, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6234858, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6273278, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6314973, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6354076, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6394488, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6432909, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6474718, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6512759, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6555731, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6593633, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6633851, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6675855, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6714184, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6756044, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6792443, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6834697, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6873353, x -2.185519, y -9.3262, z 49.07388, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
