t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
780.2031, 0, 0, 75, 1, 1, 1, False
780.2072, 0, 0, 75, 1, 1, 1, False
780.2155, 0, 0, 75, 1, 1, 1, False
780.2281, 0, 0, 75, 1, 1, 1, False
780.2365, 0, 0, 75, 1, 1, 1, False
780.2712, 0, 0, 75, 1, 1, 1, False
780.2762, 0, 0, 75, 1, 1, 1, False
780.286, 0, 0, 75, 1, 1, 1, False
780.2914, 0, 0, 75, 1, 1, 1, False
780.295, 0, 0, 75, 1, 1, 1, False
780.2995, 0, 0, 75, 1, 1, 1, False
780.3031, 0, 0, 75, 1, 1, 1, False
780.3124, 0, 0, 75, 1, 1, 1, False
780.3192, 0, 0, 75, 1, 1, 1, False
780.3235, 0, 0, 75, 1, 1, 1, False
780.3314, 0, 0, 75, 1, 1, 1, False
780.3351, 0, 0, 75, 1, 1, 1, False
780.3396, 0, 0, 75, 1, 1, 1, False
780.3431, 0, 0, 75, 1, 1, 1, False
780.3486, 0, 0, 75, 1, 1, 1, False
780.3558, 0, 0, 75, 1, 1, 1, False
780.3591, 0, 0, 75, 1, 1, 1, False
780.3636, 0, 0, 75, 1, 1, 1, False
780.3672, 0, 0, 75, 1, 1, 1, False
780.3744, 0, 0, 75, 1, 1, 1, False
780.3792, 0, 0, 75, 1, 1, 1, False
780.3831, 0, 0, 75, 1, 1, 1, False
780.3882, 0, 0, 75, 1, 1, 1, False
780.3982, 0, 0, 75, 1, 1, 1, False
780.4115, 0, 0, 75, 1, 1, 1, False
780.4212, 0, 0, 75, 1, 1, 1, False
780.4278, 0, 0, 75, 1, 1, 1, False
780.4311, 0, 0, 75, 1, 1, 1, False
780.4353, 0, 0, 75, 1, 1, 1, False
780.4394, 0, 0, 75, 1, 1, 1, False
780.4456, 0, 0, 75, 1, 1, 1, False
780.489, 0, 0, 75, 1, 1, 1, False
780.4951, 0, 0, 75, 1, 1, 1, False
780.5381, 0, 0, 75, 1, 1, 1, False
780.5475, 0, 0, 75, 1, 1, 1, False
780.5516, 0, 0, 75, 1, 1, 1, False
780.5593, 0, 0, 75, 1, 1, 1, False
780.5739, 0, 0, 75, 1, 1, 1, False
780.5834, 0, 0, 75, 1, 1, 1, False
780.5919, 0, 0, 75, 1, 1, 1, False
780.6001, 0, 0, 75, 1, 1, 1, False
780.6074, 0, 0, 75, 1, 1, 1, False
780.6113, 0, 0, 75, 1, 1, 1, False
780.6199, 0, 0, 75, 1, 1, 1, False
780.6251, 0, 0, 75, 1, 1, 1, False
780.6406, 0, 0, 75, 1, 1, 1, False
780.6484, 0, 0, 75, 1, 1, 1, False
780.6561, 0, 0, 75, 1, 1, 1, False
780.6601, 0, 0, 75, 1, 1, 1, False
780.6723, 0, 0, 75, 1, 1, 1, False
780.6792, 0, 0, 75, 1, 1, 1, False
780.6971, 0, 0, 75, 1, 1, 1, False
780.7036, 0, 0, 75, 1, 1, 1, False
780.7097, 0, 0, 75, 1, 1, 1, False
780.7153, 0, 0, 75, 1, 1, 1, False
780.7194, 0, 0, 75, 1, 1, 1, False
780.7273, 0, 0, 75, 1, 1, 1, False
780.7311, 0, 0, 75, 1, 1, 1, False
780.7352, 0, 0, 75, 1, 1, 1, False
780.7392, 0, 0, 75, 1, 1, 1, False
780.7435, 0, 0, 75, 1, 1, 1, False
780.7537, 0, 0, 75, 1, 1, 1, False
780.8007, 0, 0, 75, 1, 1, 1, False
780.8077, 0, 0, 75, 1, 1, 1, False
780.8176, 0, 0, 75, 1, 1, 1, False
780.8273, 0, 0, 75, 1, 1, 1, False
780.8315, 0, 0, 75, 1, 1, 1, False
780.8354, 0, 0, 75, 1, 1, 1, False
780.8392, 0, 0, 75, 1, 1, 1, False
780.8431, 0, 0, 75, 1, 1, 1, False
780.8477, 0, 0, 75, 1, 1, 1, False
780.8555, 0, 0, 75, 1, 1, 1, False
780.864, 0, 0, 75, 1, 1, 1, False
780.8674, 0, 0, 75, 1, 1, 1, False
780.8751, 0, 0, 75, 1, 1, 1, False
780.8792, 0, 0, 75, 1, 1, 1, False
780.8831, 0, 0, 75, 1, 1, 1, False
780.8882, 0, 0, 75, 1, 1, 1, False
780.8954, 0, 0, 75, 1, 1, 1, False
780.8992, 0, 0, 75, 1, 1, 1, False
780.9032, 0, 0, 75, 1, 1, 1, False
