t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 2021-06-08T11:48:19.0075280+08:00, 0, 0, 75, 1, 1, 1, True
0.12, 2021-06-08T11:48:21.1833220+08:00, 0, 0, 75, 1, 1, 1, True
0.22, 2021-06-08T11:48:21.8859590+08:00, 5.722663, -13.60331, 73.53368, 1, 1, 1, True
0.32, 2021-06-08T11:48:22.1882100+08:00, 4.951521, -13.66767, 73.5777, 1, 1, 1, True
0.4005118, 2021-06-08T11:48:22.2720390+08:00, 4.763432, -13.28136, 73.66081, 1, 1, 1, True
0.4857098, 2021-06-08T11:48:22.3538220+08:00, 4.763432, -13.28136, 73.66081, 1, 1, 1, True
0.5853534, 2021-06-08T11:48:22.4535130+08:00, 4.763432, -13.28136, 73.66081, 1, 1, 1, True
0.6780746, 2021-06-08T11:48:22.5461360+08:00, 4.763432, -13.28136, 73.66081, 1, 1, 1, True
0.7780746, 2021-06-08T11:48:22.6482410+08:00, 4.763432, -13.28136, 73.66081, 1, 1, 1, True
0.8739715, 2021-06-08T11:48:22.7441280+08:00, 4.699885, -13.21694, 73.67648, 1, 1, 1, True
0.9739715, 2021-06-08T11:48:22.8499590+08:00, 4.636312, -13.15251, 73.69203, 1, 1, 1, True
1.073972, 2021-06-08T11:48:22.9557650+08:00, 4.636312, -13.15251, 73.69203, 1, 1, 1, True
1.173972, 2021-06-08T11:48:23.0662310+08:00, 4.636312, -13.15251, 73.69203, 1, 1, 1, True
1.267903, 2021-06-08T11:48:23.1601430+08:00, 4.636313, -13.15251, 73.69203, 1, 1, 1, True
1.367903, 2021-06-08T11:48:23.2646620+08:00, 4.636313, -13.15252, 73.69203, 1, 1, 1, True
1.467903, 2021-06-08T11:48:23.3694870+08:00, 4.636314, -13.15252, 73.69203, 1, 1, 1, True
1.499892, 2021-06-08T11:48:23.4014030+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.509929, 2021-06-08T11:48:23.4114260+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.520547, 2021-06-08T11:48:23.4220910+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.532652, 2021-06-08T11:48:23.4340620+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.561385, 2021-06-08T11:48:23.4629390+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.588122, 2021-06-08T11:48:23.4896000+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.621977, 2021-06-08T11:48:23.5235200+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.660371, 2021-06-08T11:48:23.5620090+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.690251, 2021-06-08T11:48:23.5918040+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.720393, 2021-06-08T11:48:23.6218630+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.745602, 2021-06-08T11:48:23.6470810+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.773241, 2021-06-08T11:48:23.6747220+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.800304, 2021-06-08T11:48:23.7018240+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.826639, 2021-06-08T11:48:23.7281190+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.856573, 2021-06-08T11:48:23.7580680+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.877273, 2021-06-08T11:48:23.7787430+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.907289, 2021-06-08T11:48:23.8087840+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.928986, 2021-06-08T11:48:23.8306910+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.954113, 2021-06-08T11:48:23.8556280+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
1.979386, 2021-06-08T11:48:23.8808550+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.004148, 2021-06-08T11:48:23.9056960+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.033815, 2021-06-08T11:48:23.9352920+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.054737, 2021-06-08T11:48:23.9562800+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.08089, 2021-06-08T11:48:23.9823700+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.106384, 2021-06-08T11:48:24.0079530+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.131279, 2021-06-08T11:48:24.0327550+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.15614, 2021-06-08T11:48:24.0576780+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.186812, 2021-06-08T11:48:24.0883500+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.206933, 2021-06-08T11:48:24.1084620+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.232157, 2021-06-08T11:48:24.1336670+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.257348, 2021-06-08T11:48:24.1588330+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.286775, 2021-06-08T11:48:24.1883080+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.308554, 2021-06-08T11:48:24.2100710+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.333579, 2021-06-08T11:48:24.2351490+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.358274, 2021-06-08T11:48:24.2597660+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.389046, 2021-06-08T11:48:24.2905980+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.408742, 2021-06-08T11:48:24.3102470+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.434407, 2021-06-08T11:48:24.3359260+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.459474, 2021-06-08T11:48:24.3609890+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.488977, 2021-06-08T11:48:24.3905720+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.510474, 2021-06-08T11:48:24.4119990+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.535316, 2021-06-08T11:48:24.4368300+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.560268, 2021-06-08T11:48:24.4618000+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.590145, 2021-06-08T11:48:24.4916610+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.610679, 2021-06-08T11:48:24.5121690+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.635845, 2021-06-08T11:48:24.5373580+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.66065, 2021-06-08T11:48:24.5621290+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.690651, 2021-06-08T11:48:24.5922240+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.715981, 2021-06-08T11:48:24.6174840+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.736642, 2021-06-08T11:48:24.6381960+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.76168, 2021-06-08T11:48:24.6631720+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.793394, 2021-06-08T11:48:24.6949260+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.817333, 2021-06-08T11:48:24.7188190+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.838007, 2021-06-08T11:48:24.7394920+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.862678, 2021-06-08T11:48:24.7641720+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.893972, 2021-06-08T11:48:24.7955600+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.919394, 2021-06-08T11:48:24.8209210+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.943714, 2021-06-08T11:48:24.8452380+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.96415, 2021-06-08T11:48:24.8656350+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
2.995546, 2021-06-08T11:48:24.8971230+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.02016, 2021-06-08T11:48:24.9216690+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.04553, 2021-06-08T11:48:24.9470570+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.065645, 2021-06-08T11:48:24.9671310+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.165645, 2021-06-08T11:48:25.0787190+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.178247, 2021-06-08T11:48:25.0910740+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.189908, 2021-06-08T11:48:25.1028000+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.203065, 2021-06-08T11:48:25.1160950+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.213737, 2021-06-08T11:48:25.1266050+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.227012, 2021-06-08T11:48:25.1399350+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.247239, 2021-06-08T11:48:25.1601860+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.267292, 2021-06-08T11:48:25.1801790+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.292, 2021-06-08T11:48:25.2049160+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.322331, 2021-06-08T11:48:25.2352760+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.342845, 2021-06-08T11:48:25.2557320+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.367825, 2021-06-08T11:48:25.2807500+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.392651, 2021-06-08T11:48:25.3055730+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.423803, 2021-06-08T11:48:25.3368280+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.449323, 2021-06-08T11:48:25.3622860+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.474201, 2021-06-08T11:48:25.3871130+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.498415, 2021-06-08T11:48:25.4113390+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.523621, 2021-06-08T11:48:25.4366070+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.544249, 2021-06-08T11:48:25.4571370+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.569663, 2021-06-08T11:48:25.4825550+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
3.594749, 2021-06-08T11:48:25.5076900+08:00, 4.636315, -13.15252, 73.69203, 1, 1, 1, True
