t 6.337163, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.341197, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.345064, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.349012, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.3532, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.357172, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.361137, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.365198, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.369218, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.373158, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.377169, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.381056, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.385149, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.389194, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.393121, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.397196, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.401193, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.405182, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.409104, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.413158, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.417098, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.42125, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.425017, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.429038, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.433373, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.437239, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.441282, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.445182, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.449325, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.453116, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.457174, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.461209, x 0.04363323, y 0, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.465174, x 0.04363323, y 0, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.469175, x 0.04363323, y 0, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.473259, x 0.08726638, y 0.04363323, z 49.9999, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.477072, x 0.08726638, y 0.04363323, z 49.9999, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.481057, x 0.08726638, y 0.04363323, z 49.9999, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.485207, x 0.2181647, y 0.1308995, z 49.99935, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.489207, x 0.2181647, y 0.1308995, z 49.99935, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.493032, x 0.3490583, y 0.2617982, z 49.9981, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.497346, x 0.4799434, y 0.3926951, z 49.99615, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.578556, x 1.395468, y 1.483312, z 49.95851, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.581589, x 1.395468, y 1.483312, z 49.95851, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.585185, x 2.610264, y 3.53135, z 49.80679, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.58916, x 2.610264, y 3.53135, z 49.80679, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.593368, x 2.610264, y 3.53135, z 49.80679, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.597324, x 2.868523, y 4.096926, z 49.74924, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.601124, x 2.868523, y 4.096926, z 49.74924, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.605206, x 3.082741, y 4.618529, z 49.6907, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.609062, x 3.296142, y 5.139627, z 49.6258, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.613172, x 3.296142, y 5.139627, z 49.6258, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.617174, x 3.423164, y 5.530083, z 49.5752, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.621163, x 3.423164, y 5.530083, z 49.5752, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.625061, x 3.423164, y 5.530083, z 49.5752, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.629352, x 3.55082, y 5.790199, z 49.5365, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.633159, x 3.55082, y 5.790199, z 49.5365, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.637174, x 3.55082, y 5.790199, z 49.5365, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.641273, x 3.674145, y 6.483047, z 49.44159, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.645251, x 3.674145, y 6.483047, z 49.44159, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.649106, x 3.674145, y 6.483047, z 49.44159, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.653253, x 3.798153, y 7.001862, z 49.3614, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.657185, x 3.798153, y 7.001862, z 49.3614, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.660993, x 3.798153, y 7.001862, z 49.3614, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.665228, x 3.792822, y 7.476768, z 49.29211, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.669047, x 3.792822, y 7.476768, z 49.29211, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.673117, x 3.787671, y 7.907904, z 49.22518, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.677125, x 3.782233, y 8.338437, z 49.1545, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.681016, x 3.782233, y 8.338437, z 49.1545, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.685223, x 3.778831, y 8.596456, z 49.1103, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.689091, x 3.778831, y 8.596456, z 49.1103, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.693116, x 3.778831, y 8.596456, z 49.1103, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.697213, x 3.688522, y 8.94011, z 49.05578, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.701149, x 3.688522, y 8.94011, z 49.05578, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.705182, x 3.688522, y 8.94011, z 49.05578, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.709106, x 3.598832, y 9.240453, z 49.00676, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.712997, x 3.598832, y 9.240453, z 49.00676, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.717123, x 3.598832, y 9.240453, z 49.00676, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.721054, x 3.552513, y 9.497615, z 48.96095, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.724982, x 3.552513, y 9.497615, z 48.96095, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.729132, x 3.508595, y 9.583278, z 48.94743, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.733253, x 3.464692, y 9.668913, z 48.93371, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.737138, x 3.464692, y 9.668913, z 48.93371, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.741249, x 3.420805, y 9.754518, z 48.91981, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.744981, x 3.420805, y 9.754518, z 48.91981, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.749114, x 3.420805, y 9.754518, z 48.91981, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.753281, x 3.41841, y 9.925638, z 48.88554, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.757135, x 3.41841, y 9.925638, z 48.88554, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.761206, x 3.41841, y 9.925638, z 48.88554, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.76524, x 3.37455, y 10.01115, z 48.87115, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.769229, x 3.37455, y 10.01115, z 48.87115, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.773201, x 3.37455, y 10.01115, z 48.87115, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.777131, x 3.287477, y 10.13937, z 48.85065, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.781059, x 3.287477, y 10.13937, z 48.85065, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.78509, x 3.243668, y 10.2248, z 48.83577, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.789291, x 3.199878, y 10.31021, z 48.82069, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.793128, x 3.199878, y 10.31021, z 48.82069, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.797103, x 3.155519, y 10.43826, z 48.79637, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.801202, x 3.111185, y 10.56624, z 48.77166, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.805239, x 3.111185, y 10.56624, z 48.77166, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.80915, x 3.024335, y 10.69415, z 48.74924, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.813076, x 3.024335, y 10.69415, z 48.74924, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.816921, x 3.024335, y 10.69415, z 48.74924, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.82132, x 2.980648, y 10.77938, z 48.73316, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.825096, x 2.980648, y 10.77938, z 48.73316, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.829164, x 2.980648, y 10.77938, z 48.73316, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.833183, x 2.850838, y 10.94974, z 48.70293, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.836996, x 2.850838, y 10.94974, z 48.70293, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.841257, x 2.850838, y 10.94974, z 48.70293, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.845074, x 2.764744, y 11.03487, z 48.68868, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.848976, x 2.764744, y 11.03487, z 48.68868, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.853254, x 2.764744, y 11.03487, z 48.68868, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.857138, x 2.764744, y 11.03487, z 48.68868, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.861155, x 2.764744, y 11.03487, z 48.68868, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.865245, x 2.635169, y 11.20504, z 48.65699, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.869132, x 2.635169, y 11.20504, z 48.65699, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.872968, x 2.635169, y 11.20504, z 48.65699, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.877, x 2.592707, y 11.20504, z 48.65928, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.881124, x 2.592707, y 11.20504, z 48.65928, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.885032, x 2.592707, y 11.20504, z 48.65928, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.889155, x 2.54973, y 11.24755, z 48.65174, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.893261, x 2.54973, y 11.24755, z 48.65174, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 6.897333, x 2.54973, y 11.24755, z 48.65174, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
