t, stimulusOn
7.454118, False
7.466459, False
7.474357, False
7.504298, False
7.509943, False
7.514114, False
7.522427, False
7.525974, False
7.530064, False
7.533943, False
7.538158, False
7.541893, False
7.545887, False
7.550045, False
7.554072, False
7.558098, False
7.562114, False
7.566027, False
7.582179, False
7.585921, False
7.590008, False
7.594087, False
7.597997, False
7.601991, False
7.605878, False
7.610013, False
7.614063, False
7.61803, False
7.62208, False
7.626196, False
7.629929, False
7.634188, False
7.638046, False
7.642127, False
7.646351, False
7.651588, False
7.65606, False
7.662114, False
7.666076, False
7.670436, False
7.674813, False
7.679929, False
7.68601, False
7.690177, False
7.694688, False
7.699194, False
7.704105, False
7.710546, False
7.714047, False
7.718408, False
7.723477, False
7.730509, False
7.738447, False
7.741961, False
7.746177, False
7.789783, False
7.794081, False
7.798023, False
7.802022, False
7.806196, False
7.810103, False
7.813945, False
7.817916, False
7.822156, False
7.82617, False
7.830107, False
7.834007, False
7.837985, False
7.842085, False
7.846042, False
7.850178, False
7.855474, False
7.862144, False
7.86599, False
7.871091, False
7.87551, False
7.88028, False
7.886026, False
7.889994, False
7.89505, False
7.899466, False
7.90439, False
7.910019, False
7.914316, False
7.918674, False
7.923607, False
7.928407, False
7.933964, False
7.938162, False
7.943356, False
7.947954, False
7.954238, False
7.958541, False
7.963933, False
7.970286, False
7.975021, False
7.980277, False
7.986247, False
7.990438, False
7.995236, False
7.999935, False
8.006219, False
8.010264, False
8.014558, False
8.019966, False
8.026055, False
8.030236, False
8.0346, False
8.03894, False
8.043761, False
8.054548, False
8.062372, False
8.066047, False
8.06988, False
8.073921, False
8.078194, False
8.082072, False
8.08595, False
8.090095, False
8.094049, False
8.098292, False
8.102228, False
8.107054, False
8.111708, False
8.117953, False
8.122046, False
8.126498, False
8.130913, False
8
