t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
0.02, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.12, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.22, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.2886492, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3024458, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3061768, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3117223, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.318425, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3222112, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3261564, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3330411, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3400629, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3481694, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3554475, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3635765, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3706781, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3783884, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3859381, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3923849, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.3997809, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4065988, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4142139, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4207408, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4267947, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4333222, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4399223, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4465048, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4530093, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4593884, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4662364, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4719584, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4784709, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.4839326, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.490475, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.496423, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5023205, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5077316, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5142558, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5189213, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5247155, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5304003, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.536072, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5423041, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5476573, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5545351, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5581598, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5693547, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5741342, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5779811, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5822396, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5861868, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.591592, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
0.5984358, 0, 0, 75, 1, 1, 1, 0, -100, -75, 2, 2, 2, True
