t 4.790721, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.794933, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.798769, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.802669, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.806873, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.810815, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.814857, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.818811, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.822815, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.826931, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.842989, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.846992, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.850744, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.854887, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.85877, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.862702, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.866911, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.871222, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.874704, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.878751, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.882764, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.886841, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.890795, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.894846, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.898827, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.918797, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.922968, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.926813, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
