t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.32, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3919413, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4464529, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4958862, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5554, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6232733, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7146467, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8018777, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.87678, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.950641, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.026932, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.090155, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.14794, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.24794, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.319325, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.382774, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.438993, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.511407, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.576337, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.619968, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.650247, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.659471, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.667235, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.675588, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.683742, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.708287, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.729196, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.751713, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.779424, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.879423, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.889177, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.895917, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.904485, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.911672, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.920772, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.940493, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.959674, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.978849, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.997752, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.021616, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.034658, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.058778, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.075026, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.175026, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.184991, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.191628, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.200044, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.20793, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.217908, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.234131, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.252058, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.270904, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.288999, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.311976, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.325728, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.349748, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.362358, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.386884, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.399134, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.422577, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.501266, x 1.730637, y -6.396507, z 49.55895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
