t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 2021-08-19T16:29:47.7758740+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.12, 2021-08-19T16:29:48.9204930+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.22, 2021-08-19T16:29:49.1415770+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.2658699, 2021-08-19T16:29:49.1877790+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.2786475, 2021-08-19T16:29:49.2003340+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.2953934, 2021-08-19T16:29:49.2173590+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.3210917, 2021-08-19T16:29:49.2489110+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.3486022, 2021-08-19T16:29:49.2761880+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.3689179, 2021-08-19T16:29:49.2905350+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.3817761, 2021-08-19T16:29:49.3036190+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.3941575, 2021-08-19T16:29:49.3158530+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.4357488, 2021-08-19T16:29:49.3577840+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.4488987, 2021-08-19T16:29:49.3710180+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.461643, 2021-08-19T16:29:49.3834390+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.4847162, 2021-08-19T16:29:49.4066930+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5031243, 2021-08-19T16:29:49.4245750+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5108589, 2021-08-19T16:29:49.4321970+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5181676, 2021-08-19T16:29:49.4395370+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5260367, 2021-08-19T16:29:49.4474080+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5344473, 2021-08-19T16:29:49.4557780+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5418063, 2021-08-19T16:29:49.4633100+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5495241, 2021-08-19T16:29:49.4708530+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5576645, 2021-08-19T16:29:49.4790320+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5642826, 2021-08-19T16:29:49.4857430+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5717109, 2021-08-19T16:29:49.4931380+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5799806, 2021-08-19T16:29:49.5013010+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5862625, 2021-08-19T16:29:49.5076210+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.5933963, 2021-08-19T16:29:49.5147560+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6004181, 2021-08-19T16:29:49.5217830+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6073042, 2021-08-19T16:29:49.5286400+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6144232, 2021-08-19T16:29:49.5358070+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6214541, 2021-08-19T16:29:49.5428800+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6287265, 2021-08-19T16:29:49.5500530+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.63626, 2021-08-19T16:29:49.5576140+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6437064, 2021-08-19T16:29:49.5650380+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6491552, 2021-08-19T16:29:49.5704790+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6559947, 2021-08-19T16:29:49.5773410+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6620817, 2021-08-19T16:29:49.5835220+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6686703, 2021-08-19T16:29:49.5900140+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6758714, 2021-08-19T16:29:49.5971830+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6814139, 2021-08-19T16:29:49.6027960+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6880903, 2021-08-19T16:29:49.6094270+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.6949672, 2021-08-19T16:29:49.6163160+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.700966, 2021-08-19T16:29:49.6223360+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7078445, 2021-08-19T16:29:49.6291550+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7137094, 2021-08-19T16:29:49.6350410+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.720277, 2021-08-19T16:29:49.6416830+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7267944, 2021-08-19T16:29:49.6481170+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7332195, 2021-08-19T16:29:49.6545750+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7399285, 2021-08-19T16:29:49.6612870+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7459344, 2021-08-19T16:29:49.6673410+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7525678, 2021-08-19T16:29:49.6739010+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7597555, 2021-08-19T16:29:49.6810660+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7655034, 2021-08-19T16:29:49.6868730+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7722762, 2021-08-19T16:29:49.6936470+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7800462, 2021-08-19T16:29:49.7013930+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.784306, 2021-08-19T16:29:49.7056400+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7920469, 2021-08-19T16:29:49.7134440+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.7978294, 2021-08-19T16:29:49.7191470+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8045419, 2021-08-19T16:29:49.7259000+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8123212, 2021-08-19T16:29:49.7336050+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8164052, 2021-08-19T16:29:49.7377780+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8230323, 2021-08-19T16:29:49.7444450+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8293647, 2021-08-19T16:29:49.7507340+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8362519, 2021-08-19T16:29:49.7576080+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8423842, 2021-08-19T16:29:49.7638300+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.848744, 2021-08-19T16:29:49.7700770+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8561163, 2021-08-19T16:29:49.7775950+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8642808, 2021-08-19T16:29:49.7856270+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8720601, 2021-08-19T16:29:49.7933820+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8803446, 2021-08-19T16:29:49.8017380+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.888467, 2021-08-19T16:29:49.8098610+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.8962035, 2021-08-19T16:29:49.8175170+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9048944, 2021-08-19T16:29:49.8262740+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9123802, 2021-08-19T16:29:49.8338110+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.920433, 2021-08-19T16:29:49.8418860+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9280151, 2021-08-19T16:29:49.8493340+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9317187, 2021-08-19T16:29:49.8530090+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9355878, 2021-08-19T16:29:49.8568730+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.939774, 2021-08-19T16:29:49.8610560+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9437653, 2021-08-19T16:29:49.8650550+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9476106, 2021-08-19T16:29:49.8688470+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.955999, 2021-08-19T16:29:49.8810180+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9639195, 2021-08-19T16:29:49.8852340+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9675658, 2021-08-19T16:29:49.8888110+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9718373, 2021-08-19T16:29:49.8931200+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9785762, 2021-08-19T16:29:49.8998840+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9845313, 2021-08-19T16:29:49.9059340+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
0.9910087, 2021-08-19T16:29:49.9123440+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
1.002677, 2021-08-19T16:29:49.9239790+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
1.00783, 2021-08-19T16:29:49.9291050+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
1.011758, 2021-08-19T16:29:49.9330770+08:00, 0, 12.94095, 48.29629, 1, 1, 1, True
