t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 2021-08-27T14:42:55.1501610+08:00, 628, 853, 0, 1, 1, 1, True
0.12, 2021-08-27T14:42:55.9022010+08:00, 628, 853, 0, 1, 1, 1, True
0.22, 2021-08-27T14:42:56.1560950+08:00, 628, 853, 0, 1, 1, 1, True
0.2460326, 2021-08-27T14:42:56.1834130+08:00, 628, 853, 0, 1, 1, 1, True
0.2523111, 2021-08-27T14:42:56.1885920+08:00, 628, 853, 0, 1, 1, 1, True
0.2657254, 2021-08-27T14:42:56.2019110+08:00, 628, 853, 0, 1, 1, 1, True
0.2777026, 2021-08-27T14:42:56.2146780+08:00, 628, 853, 0, 1, 1, 1, True
0.2892551, 2021-08-27T14:42:56.2256370+08:00, 628, 853, 0, 1, 1, 1, True
0.3056985, 2021-08-27T14:42:56.2421800+08:00, 628, 853, 0, 1, 1, 1, True
0.3167997, 2021-08-27T14:42:56.2530570+08:00, 628, 853, 0, 1, 1, 1, True
0.3314661, 2021-08-27T14:42:56.2679300+08:00, 628, 853, 0, 1, 1, 1, True
0.346136, 2021-08-27T14:42:56.2825000+08:00, 628, 853, 0, 1, 1, 1, True
0.3578729, 2021-08-27T14:42:56.2942270+08:00, 628, 853, 0, 1, 1, 1, True
0.3733627, 2021-08-27T14:42:56.3097140+08:00, 628, 853, 0, 1, 1, 1, True
0.3856332, 2021-08-27T14:42:56.3215970+08:00, 628, 853, 0, 1, 1, 1, True
0.3940698, 2021-08-27T14:42:56.3308150+08:00, 628, 853, 0, 1, 1, 1, True
0.4062121, 2021-08-27T14:42:56.3427860+08:00, 628, 853, 0, 1, 1, 1, True
0.420721, 2021-08-27T14:42:56.3565230+08:00, 628, 853, 0, 1, 1, 1, True
0.4280551, 2021-08-27T14:42:56.3637430+08:00, 628, 853, 0, 1, 1, 1, True
0.4320408, 2021-08-27T14:42:56.3677390+08:00, 628, 853, 0, 1, 1, 1, True
0.4358715, 2021-08-27T14:42:56.3715610+08:00, 628, 853, 0, 1, 1, 1, True
0.4401367, 2021-08-27T14:42:56.3758590+08:00, 628, 853, 0, 1, 1, 1, True
0.4444582, 2021-08-27T14:42:56.3801460+08:00, 628, 853, 0, 1, 1, 1, True
0.448926, 2021-08-27T14:42:56.3846360+08:00, 628, 853, 0, 1, 1, 1, True
0.4538376, 2021-08-27T14:42:56.3895340+08:00, 628, 853, 0, 1, 1, 1, True
0.4603196, 2021-08-27T14:42:56.3960330+08:00, 628, 853, 0, 1, 1, 1, True
0.4640976, 2021-08-27T14:42:56.3997900+08:00, 628, 853, 0, 1, 1, 1, True
0.4683933, 2021-08-27T14:42:56.4041350+08:00, 628, 853, 0, 1, 1, 1, True
0.4733182, 2021-08-27T14:42:56.4090470+08:00, 628, 853, 0, 1, 1, 1, True
0.4779115, 2021-08-27T14:42:56.4136270+08:00, 628, 853, 0, 1, 1, 1, True
0.4840262, 2021-08-27T14:42:56.4197720+08:00, 628, 853, 0, 1, 1, 1, True
0.4880832, 2021-08-27T14:42:56.4237760+08:00, 628, 853, 0, 1, 1, 1, True
0.4920687, 2021-08-27T14:42:56.4277610+08:00, 628, 853, 0, 1, 1, 1, True
0.4963184, 2021-08-27T14:42:56.4320290+08:00, 628, 853, 0, 1, 1, 1, True
0.5010851, 2021-08-27T14:42:56.4368470+08:00, 628, 853, 0, 1, 1, 1, True
0.5056518, 2021-08-27T14:42:56.4413720+08:00, 628, 853, 0, 1, 1, 1, True
0.5122792, 2021-08-27T14:42:56.4479780+08:00, 628, 853, 0, 1, 1, 1, True
0.5158999, 2021-08-27T14:42:56.4515680+08:00, 628, 853, 0, 1, 1, 1, True
0.5200076, 2021-08-27T14:42:56.4557100+08:00, 628, 853, 0, 1, 1, 1, True
0.5240815, 2021-08-27T14:42:56.4597720+08:00, 628, 853, 0, 1, 1, 1, True
0.5282982, 2021-08-27T14:42:56.4639870+08:00, 628, 853, 0, 1, 1, 1, True
0.5323085, 2021-08-27T14:42:56.4680070+08:00, 628, 853, 0, 1, 1, 1, True
0.5366836, 2021-08-27T14:42:56.4724080+08:00, 628, 853, 0, 1, 1, 1, True
0.5412216, 2021-08-27T14:42:56.4769660+08:00, 628, 853, 0, 1, 1, 1, True
0.5483922, 2021-08-27T14:42:56.4841180+08:00, 628, 853, 0, 1, 1, 1, True
0.5518552, 2021-08-27T14:42:56.4875400+08:00, 628, 853, 0, 1, 1, 1, True
0.5560055, 2021-08-27T14:42:56.4916840+08:00, 628, 853, 0, 1, 1, 1, True
0.559985, 2021-08-27T14:42:56.4956630+08:00, 628, 853, 0, 1, 1, 1, True
0.5639296, 2021-08-27T14:42:56.4996120+08:00, 628, 853, 0, 1, 1, 1, True
0.5681622, 2021-08-27T14:42:56.5038310+08:00, 628, 853, 0, 1, 1, 1, True
