t 2.530894, stimulusOn False
t 2.535004, stimulusOn False
t 2.538554, stimulusOn False
t 2.542738, stimulusOn False
t 2.546888, stimulusOn False
t 2.550693, stimulusOn False
t 2.554718, stimulusOn False
t 2.55854, stimulusOn False
t 2.562705, stimulusOn False
t 2.566673, stimulusOn False
t 2.570744, stimulusOn False
t 2.574699, stimulusOn False
t 2.578749, stimulusOn False
t 2.582653, stimulusOn False
t 2.586704, stimulusOn False
t 2.600266, stimulusOn False
t 2.606598, stimulusOn False
t 2.610891, stimulusOn False
t 2.710891, stimulusOn False
t 2.717142, stimulusOn False
t 2.720443, stimulusOn False
t 2.724522, stimulusOn False
t 2.728724, stimulusOn False
t 2.732547, stimulusOn False
t 2.736422, stimulusOn False
t 2.740681, stimulusOn False
t 2.744417, stimulusOn False
t 2.748708, stimulusOn False
t 2.75259, stimulusOn False
t 2.756673, stimulusOn False
t 2.760648, stimulusOn False
t 2.764534, stimulusOn False
t 2.768749, stimulusOn False
t 2.77262, stimulusOn False
t 2.776541, stimulusOn False
t 2.780661, stimulusOn False
t 2.784406, stimulusOn False
t 2.788717, stimulusOn False
t 2.792638, stimulusOn False
t 2.796653, stimulusOn False
t 2.800716, stimulusOn False
t 2.804473, stimulusOn False
t 2.808668, stimulusOn False
t 2.812635, stimulusOn False
t 2.81664, stimulusOn False
t 2.820982, stimulusOn False
t 2.82445, stimulusOn False
t 2.830231, stimulusOn False
t 2.833795, stimulusOn False
t 2.836576, stimulusOn False
t 2.876864, stimulusOn False
t 2.885966, stimulusOn False
t 2.892622, stimulusOn False
t 2.896679, stimulusOn False
t 2.900572, stimulusOn False
t 2.904361, stimulusOn False
t 2.908596, stimulusOn False
t 2.912586, stimulusOn False
t 2.916701, stimulusOn False
t 2.920376, stimulusOn False
t 2.924633, stimulusOn False
t 2.928622, stimulusOn False
t 2.932541, stimulusOn False
t 2.936824, stimulusOn False
t 2.940498, stimulusOn False
t 2.944566, stimulusOn False
t 2.95294, stimulusOn False
t 2.956533, stimulusOn False
t 2.960685, stimulusOn False
t 2.964694, stimulusOn False
t 2.96863, stimulusOn False
t 2.972474, stimulusOn False
t 2.976747, stimulusOn False
t 2.980479, stimulusOn False
t 2.984603, stimulusOn False
t 2.988527, stimulusOn False
t 2.99268, stimulusOn False
t 2.996493, stimulusOn False
t 3.000777, stimulusOn False
t 3.0044, stimulusOn False
t 3.008718, stimulusOn False
t 3.012503, stimulusOn False
t 3.016601, stimulusOn False
t 3.021091, stimulusOn False
t 3.02447, stimulusOn False
t 3.028761, stimulusOn False
t 3.032622, stimulusOn False
t 3.036538, stimulusOn False
t 3.04072, stimulusOn False
t 3.044457, stimulusOn False
t 3.04848, stimulusOn False
t 3.05284, stimulusOn False
t 3.056592, stimulusOn False
t 3.060653, stimulusOn False
t 3.064721, stimulusOn False
t 3.068406, stimulusOn False
t 3.07263, stimulusOn False
t 3.076671, stimulusOn False
t 3.080895, stimulusOn False
t 3.084487, stimulusOn False
t 3.088615, stimulusOn False
t 3.09267, stimulusOn False
t 3.096544, stimulusOn False
t 3.100732, stimulusOn False
t 3.104486, stimulusOn False
t 3.108712, stimulusOn False
t 3.112593, stimulusOn False
t 3.11666, stimulusOn False
t 3.12101, stimulusOn False
t 3.124398, stimulusOn False
t 3.128796, stimulusOn False
t 3.132651, stimulusOn False
t 3.136632, stimulusOn False
t 3.140605, stimulusOn False
t 3.144451, stimulusOn False
