t, stimulusOn
0.02, False
0.12, False
0.22, True
0.32, True
0.3517607, True
0.3595718, True
0.3638029, True
0.3673938, True
0.3717197, True
0.3755433, True
0.3827073, True
0.3911402, True
0.3999231, True
0.4079901, True
0.4168769, True
0.4244657, True
0.4324716, True
0.4417784, True
0.4488511, True
0.4565934, True
0.4641868, True
0.4722615, True
0.4802741, True
0.487949, True
0.4925932, True
0.5003628, True
0.5065187, True
0.5134146, True
0.5206388, True
0.5278629, True
0.5331897, True
0.5403739, True
0.5463926, True
0.5536408, True
0.5596392, True
0.5660603, True
0.5718785, True
0.5777332, True
0.5839755, True
0.590369, True
0.5959463, True
0.6019273, True
0.6076098, True
0.6131237, True
0.6195252, True
0.6241937, True
0.6304153, True
0.636336, True
0.641513, True
0.6475263, True
0.6529633, True
0.6601694, True
0.6637765, True
0.6686126, True
0.674071, True
0.6798059, True
0.6851658, True
0.6918331, True
0.6954643, True
0.7000741, True
0.7053805, True
0.7117236, True
0.7155374, True
0.7209383, True
0.7278524, True
0.7322567, True
0.7362498, True
0.7407258, True
0.7479135, True
0.7514802, True
0.7559505, True
0.7604985, True
0.7657885, True
0.771614, True
0.7753745, True
0.7796724, True
0.7846876, True
0.7890832, True
0.7954797, True
0.7996712, True
0.8036207, True
0.8081293, True
0.8132499, True
0.8198878, True
0.8235246, True
0.8274931, True
0.8317096, True
0.8364419, True
0.841073, True
0.8458057, True
0.8513249, True
0.8555376, True
0.8602505, True
0.8645154, True
0.8695185, True
0.8757508, False
0.879364, True
0.8835287, False
0.8884763, True
0.8931523, False
0.9002474, True
0.9033526, False
0.9077519, True
0.9124683, False
0.9177652, True
0.9236289, False
0.9275469, True
0.9315223, False
0.9360031, True
0.9411343, False
0.9477377, True
0.9514211, False
0.9556121, True
0.9601998, False
0.9644637, True
0.9694581, False
0.975953, True
0.9793847, True
0.9834895, True
0.9885062, True
0.9931647, True
0.9994339, True
1.003502, True
1.007685, True
1.012521, True
1.016676, True
1.021529, True
1.027675, True
1.031608, True
1.035668, True
1.040821, True
1.045251, True
1.051504, True
1.065926, True
1.071713, True
1.07544, True
1.079466, True
1.08343, True
1.087557, True
1.09155, True
1.095508, True
1.099308, True
1.103466, True
1.107461, True
1.111363, True
1.115475, True
1.119461, True
1.123456, True
1.127535, True
1.13148, True
1.135447, True
1.139544, True
1.144155, True
1.148448, True
1.153216, True
1.159919, True
1.163581, True
1.167843, True
1.171938, True
1.176527, True
1.181723, True
1.187785, True
1.191474, True
1.195658, True
1.200469, True
1.204768, True
1.211891, True
1.215522, True
1.219558, True
1.223928, True
1.228079, True
1.23307, True
1.239756, True
1.243508, True
1.24743, True
1.252594, True
1.256797, True
1.261492, True
1.267417, True
1.27136, True
1.27597, True
1.280409, True
1.285454, True
1.291728, True
1.295408, True
1.299377, True
1.303924, True
1.308683, True
1.313364, True
1.319719, True
1.323444, True
1.327983, True
1.332231, True
1.337062, True
1.343854, True
1.347649, True
1.351865, True
1.356238, True
1.36089, True
1.367426, True
1.371497, True
1.375482, True
1.380065, True
1.385048, True
1.391755, True
1.395379, True
1.399605, True
1.403631, True
1.408284, True
1.412508, True
1.417429, True
1.423701, True
1.427521, True
1.432238, True
1.436614, True
1.441395, True
1.447838, True
1.451549, True
1.455717, True
1.460598, True
1.464646, True
1.469528, True
1.475492, True
1.479492, True
1.483442, True
1.488379, True
1.493091, True
1.497893, True
1.503632, True
1.507611, True
1.512211, True
1.516364, True
1.521258, True
1.527855, True
1.531431, True
1.535764, True
1.539919, True
1.544698, True
1.549347, True
1.555377, True
1.559494, True
1.564028, True
1.56816, True
1.573119, True
1.579674, True
1.583543, True
1.587534, True
1.592691, True
1.597093, True
1.603501, True
1.607469, True
1.6119, True
1.616688, True
1.621039, True
1.625744, True
1.631645, True
1.635525, True
1.639984, True
1.644932, True
1.651557, True
1.671435, True
1.6754, True
1.679569, True
1.683321, True
1.687706, True
1.69166, True
1.695614, True
1.699558, True
1.703555, True
1.70745, True
1.711385, True
1.715424, True
1.719632, True
1.723413, True
1.727557, True
1.731379, True
1.735634, True
1.739508, True
1.743672, True
1.748695, True
1.753107, True
1.75961, True
1.763426, True
1.767947, True
1.772296, True
1.777024, True
1.783454, True
1.787487, True
1.791715, True
1.795976, True
1.800641, True
1.805474, True
1.811961, True
1.816105, True
1.819794, True
1.824962, True
1.829293, True
1.835771, True
1.839574, True
1.843932, True
1.848172, True
1.853088, True
1.857753, True
1.863807, True
1.867839, True
1.872208, True
1.876862, True
1.883445, True
1.887691, True
1.891608, True
1.896162, True
1.901197, True
1.9079, True
1.911626, True
1.921853, True
1.927739, True
1.931477, True
1.948357, True
1.951521, True
1.955548, True
1.959534, True
1.96357, True
1.967335, True
1.971586, True
1.9755, True
1.979509, True
1.983346, True
1.987358, True
1.991459, True
1.995411, True
1.999759, True
2.003374, True
2.007741, True
2.012657, True
2.017619, True
2.023665, True
2.027533, True
2.031956, True
2.036319, True
2.041014, True
2.045356, True
2.05165, True
2.055568, True
2.060031, True
2.064441, True
2.069264, True
2.075779, True
2.079285, True
2.083443, True
2.088322, True
2.093025, True
2.1003, True
2.103313, True
2.107597, True
2.112193, True
2.116672, True
2.121521, True
2.127679, True
2.131446, True
2.135924, True
2.141157, True
2.145554, True
2.151648, True
2.155668, True
2.160139, True
2.164528, True
2.169369, True
2.175869, True
2.179518, True
2.183641, True
2.188544, True
2.193227, True
2.197885, True
2.203737, True
2.207851, True
2.212309, True
2.217624, True
2.223559, True
2.227429, True
2.231601, True
2.236274, True
2.240948, True
2.245651, True
2.251666, True
2.255654, True
2.260114, True
2.265391, True
2.271873, True
2.275544, True
2.279526, True
2.284352, True
2.288792, True
2.293464, True
2.299277, True
2.303584, True
2.308061, True
2.312305, True
2.316941, True
2.321848, True
2.32781, True
2.331598, True
2.336007, True
2.341176, True
2.347944, True
2.351368, True
2.355529, True
2.360193, True
2.364558, True
2.369353, True
2.375812, True
2.379422, True
2.383488, True
2.38838, True
2.393004, True
2.400417, True
2.403577, True
2.407579, True
2.411986, True
2.417257, True
2.423658, True
2.42744, True
2.431651, True
2.435968, True
2.440683, True
2.447724, True
2.451336, True
2.455412, True
2.460345, True
2.464428, True
2.469361, True
2.475771, True
2.479328, True
2.483481, True
2.488288, True
2.492985, True
2.499879, True
2.503404, True
2.507606, True
2.511966, True
2.517236, True
2.523656, True
2.527587, True
2.531599, True
2.535804, True
2.540749, True
2.556668, True
2.560125, True
2.563554, True
2.5714, True
2.579761, True
2.587327, True
2.591406, True
2.595608, True
2.599796, True
2.603884, True
2.607347, True
2.61154, True
2.615468, True
2.61955, True
2.623453, True
2.627555, True
2.631505, True
2.63541, True
2.639454, True
2.643473, True
2.647534, True
2.651474, True
2.655886, True
2.660013, True
2.664822, True
2.669673, True
2.676055, True
2
