t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
0.02, 2021-08-25T16:25:21.1624330+08:00, 0, 0, 50, 1, 1, 1, 0, 0, 50, 0, 0, 0, True
0.12, 2021-08-25T16:25:22.1397930+08:00, 0, 0, 50, 1, 1, 1, 6.609374, -1.614149, 49.53494, 0, 0, 0, True
0.22, 2021-08-25T16:25:22.3454370+08:00, 6.609374, -1.614149, 49.53494, 1, 1, 1, -12.45662, -6.43978, 47.99335, 0, 0, 0, True
0.295313, 2021-08-25T16:25:22.4204030+08:00, -12.45662, -6.43978, 47.99335, 1, 1, 1, -15.93687, -5.399969, 47.08351, 0, 0, 0, True
0.3090917, 2021-08-25T16:25:22.4342790+08:00, -15.93687, -5.399969, 47.08351, 1, 1, 1, -15.12314, -3.487824, 47.53026, 0, 0, 0, True
0.3180214, 2021-08-25T16:25:22.4430240+08:00, -15.12314, -3.487824, 47.53026, 1, 1, 1, -14.2, 0.5235884, 47.93835, 0, 0, 0, True
0.334802, 2021-08-25T16:25:22.4598810+08:00, -14.2, 0.5235884, 47.93835, 1, 1, 1, -11.24536, 4.444724, 48.51583, 0, 0, 0, True
0.3779423, 2021-08-25T16:25:22.5031130+08:00, -11.24536, 4.444724, 48.51583, 1, 1, 1, -6.198174, 9.369084, 48.72169, 0, 0, 0, True
0.3854413, 2021-08-25T16:25:22.5103400+08:00, -6.198174, 9.369084, 48.72169, 1, 1, 1, -5.331203, 10.09666, 48.67891, 0, 0, 0, True
0.3942187, 2021-08-25T16:25:22.5192250+08:00, -5.331203, 10.09666, 48.67891, 1, 1, 1, -5.029161, 10.31024, 48.66628, 0, 0, 0, True
0.4021354, 2021-08-25T16:25:22.5272230+08:00, -5.029161, 10.31024, 48.66628, 1, 1, 1, -4.382638, 10.77938, 48.62712, 0, 0, 0, True
