t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 2021-07-23T18:27:47.3411670+08:00, 0, 0, 50, 1, 1, 1, True
0.12, 2021-07-23T18:27:48.2170080+08:00, 0, 0, 50, 1, 1, 1, True
0.22, 2021-07-23T18:27:48.4268380+08:00, -0.884819, -12.9831, 48.27687, 1, 1, 1, True
0.2260716, 2021-07-23T18:27:48.4327840+08:00, -0.8848032, -12.9831, 48.27687, 1, 1, 1, True
0.2353086, 2021-07-23T18:27:48.4434620+08:00, -0.8848032, -12.9831, 48.27687, 1, 1, 1, True
0.2469114, 2021-07-23T18:27:48.4543900+08:00, -0.8848032, -12.9831, 48.27687, 1, 1, 1, True
0.2543726, 2021-07-23T18:27:48.4611320+08:00, -0.8848032, -12.9831, 48.27687, 1, 1, 1, True
0.2629709, 2021-07-23T18:27:48.4698080+08:00, -0.8848032, -12.9831, 48.27687, 1, 1, 1, True
0.2661276, 2021-07-23T18:27:48.4728580+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.2747875, 2021-07-23T18:27:48.4816890+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.2881999, 2021-07-23T18:27:48.4951150+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.2993941, 2021-07-23T18:27:48.5061940+08:00, -0.8848031, -12.98311, 48.27687, 1, 1, 1, True
0.3099076, 2021-07-23T18:27:48.5166620+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.3195921, 2021-07-23T18:27:48.5263790+08:00, -0.8848031, -12.98311, 48.27687, 1, 1, 1, True
0.3293564, 2021-07-23T18:27:48.5361720+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.338351, 2021-07-23T18:27:48.5451040+08:00, -0.8848031, -12.98311, 48.27687, 1, 1, 1, True
0.3481401, 2021-07-23T18:27:48.5550170+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.3573583, 2021-07-23T18:27:48.5641560+08:00, -0.8848031, -12.98311, 48.27687, 1, 1, 1, True
0.3664288, 2021-07-23T18:27:48.5732640+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.3758836, 2021-07-23T18:27:48.5826190+08:00, -0.8848031, -12.98311, 48.27687, 1, 1, 1, True
0.3844976, 2021-07-23T18:27:48.5915310+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.3942492, 2021-07-23T18:27:48.6013230+08:00, -0.8848031, -12.98311, 48.27687, 1, 1, 1, True
0.4042192, 2021-07-23T18:27:48.6114400+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.4141934, 2021-07-23T18:27:48.6209890+08:00, -0.8848031, -12.98311, 48.27687, 1, 1, 1, True
0.4247138, 2021-07-23T18:27:48.6315460+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
0.433315, 2021-07-23T18:27:48.6401270+08:00, -0.8848031, -12.98311, 48.27687, 1, 1, 1, True
0.4416389, 2021-07-23T18:27:48.6484470+08:00, -0.8848032, -12.98311, 48.27687, 1, 1, 1, True
