t 0.02, x 18.21198, y 0, z 9.83885, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 18.18623, y 0, z 9.834136, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 16.41755, y -0.2617695, z 9.332605, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2305705, x 16.41755, y -0.2617695, z 9.332605, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2341327, x 16.41755, y -0.2617695, z 9.332605, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2429077, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2502736, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2585356, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2622649, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.271119, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2784309, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2820039, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2862676, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2901395, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2941442, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2980161, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3021857, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3066382, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3112062, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3160641, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3220708, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3262303, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.33056, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3355201, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3425138, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3460186, x 16.4094, y -0.2617695, z 9.329475, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3500574, x 16.40127, y -0.2617695, z 9.326339, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3546244, x 16.39313, y -0.2617695, z 9.323195, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.359534, x 16.39313, y -0.2617695, z 9.323195, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.366086, x 16.39313, y -0.2617695, z 9.323195, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3701722, x 16.39313, y -0.2617695, z 9.323195, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3744174, x 16.39313, y -0.2617695, z 9.323195, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4187922, x 16.36061, y -0.2617695, z 9.310547, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4230329, x 16.36061, y -0.2617695, z 9.310547, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4261333, x 16.32813, y -0.2617695, z 9.297787, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4303463, x 16.32002, y -0.2617695, z 9.294579, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4340341, x 16.32002, y -0.2617695, z 9.294579, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.437898, x 16.32002, y -0.2617695, z 9.294579, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4421971, x 16.32002, y -0.2617695, z 9.294579, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4461069, x 16.32002, y -0.2617695, z 9.294579, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4500573, x 16.32002, y -0.2617695, z 9.294579, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4541698, x 16.31191, y -0.2617695, z 9.291364, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4583906, x 16.31191, y -0.2617695, z 9.291364, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4624797, x 16.3038, y -0.2617695, z 9.288142, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4667834, x 16.2957, y -0.2617695, z 9.284913, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4717233, x 16.2957, y -0.2617695, z 9.284913, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.475908, x 16.28759, y -0.2617695, z 9.281677, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.482207, x 16.2795, y -0.2617695, z 9.278434, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.486097, x 16.2795, y -0.2617695, z 9.278434, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4901164, x 16.2795, y -0.2617695, z 9.278434, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4941632, x 16.2795, y -0.2617695, z 9.278434, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
