t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5565699, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5602024, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5641328, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5683609, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5721741, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5767431, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5812578, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5859795, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5899462, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5967202, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6002215, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6044366, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6082553, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6122583, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6166157, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6202579, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6246567, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6287566, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6332908, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6371152, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6415412, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6453266, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6528931, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6569376, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6600751, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6642252, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6683089, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6720964, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6762951, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6801207, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6842558, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6881333, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6922684, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6962836, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7002762, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.704253, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7082125, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7123501, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7162628, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7200467, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7243437, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7281162, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.732372, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7366852, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7400301, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7484449, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7561864, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7603067, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7642767, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.768297, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7720872, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7762181, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7802643, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.784265, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7881868, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7922884, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7963538, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8002178, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.804155, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8082992, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8122579, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8161609, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8200327, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8243148, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8282273, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8322638, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8366411, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8401479, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8443447, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8482707, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8522577, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8562557, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8601558, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8642647, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8682677, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8720224, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8763021, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8802124, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8843127, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8881147, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.892316, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.896265, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9002823, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.904132, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9082418, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9123157, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9162986, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9200554, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9243343, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9281623, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9323001, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9366107, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9401731, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9442636, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9481623, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9523424, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9562058, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9603122, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9642405, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9682851, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9721087, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9761088, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.980374, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9842145, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9882591, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9923629, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9962891, x -1.080392, y -6.872227, z 49.51369, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.000388, x -1.080392, y -6.872227, z 49.51369, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.004151, x -1.124005, y -6.742546, z 49.53054, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.008163, x -1.124005, y -6.742546, z 49.53054, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.012319, x -1.16764, y -6.612821, z 49.54702, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.016358, x -1.16764, y -6.612821, z 49.54702, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.020124, x -1.254691, y -6.43978, z 49.56768, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.024368, x -1.254691, y -6.43978, z 49.56768, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.028223, x -1.341801, y -6.266662, z 49.58759, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.032373, x -1.341801, y -6.266662, z 49.58759, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.036651, x -1.428966, y -6.093467, z 49.60673, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.040136, x -1.428966, y -6.093467, z 49.60673, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.044412, x -1.472413, y -6.050157, z 49.61076, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.048228, x -1.515867, y -6.006843, z 49.61472, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.052275, x -1.559812, y -5.833537, z 49.63403, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.056312, x -1.559812, y -5.833537, z 49.63403, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.060204, x -1.646772, y -5.746858, z 49.64133, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.064278, x -1.646772, y -5.746858, z 49.64133, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.068212, x -1.690598, y -5.616807, z 49.65474, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.072111, x -1.690598, y -5.616807, z 49.65474, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.076279, x -1.734269, y -5.530084, z 49.66297, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.080214, x -1.734269, y -5.530084, z 49.66297, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.08429, x -1.77795, y -5.443344, z 49.67101, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.088101, x -1.77795, y -5.443344, z 49.67101, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
