t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 0, 0, 50, 1, 1, 1, True
0.12, 0, 0, 50, 1, 1, 1, True
0.22, 0.2617201, 1.221609, 49.98439, 1, 1, 1, True
0.2337524, 0.7403935, -3.008873, 49.90389, 1, 1, 1, True
0.2534262, 0.6530409, -3.313695, 49.8858, 1, 1, 1, True
0.2696343, 0.4786384, -3.705424, 49.86021, 1, 1, 1, True
0.278438, 0.3914574, -3.966452, 49.84089, 1, 1, 1, True
0.285796, 0.3043817, -4.14041, 49.82735, 1, 1, 1, True
0.2935401, 0.2608414, -4.270846, 49.81658, 1, 1, 1, True
0.3015788, 0.2172848, -4.488173, 49.79768, 1, 1, 1, True
0.3097341, 0.1303293, -4.661974, 49.78202, 1, 1, 1, True
0.3194501, 0.04342868, -4.835717, 49.76559, 1, 1, 1, True
0.3262821, 3.234286E-09, -5.052814, 49.74403, 1, 1, 1, True
0.3401523, -0.08678836, -5.226422, 49.72602, 1, 1, 1, True
0.3496406, -0.3034066, -5.746856, 49.66771, 1, 1, 1, True
0.3575402, -0.3466075, -5.920197, 49.64706, 1, 1, 1, True
0.3659381, -0.4330279, -6.136772, 49.62008, 1, 1, 1, True
0.3761728, -0.5193452, -6.353229, 49.592, 1, 1, 1, True
0.3869324, -0.6055543, -6.569566, 49.56283, 1, 1, 1, True
0.3984174, -0.7347869, -6.829003, 49.526, 1, 1, 1, True
0.4091968, -0.7777228, -6.958654, 49.50729, 1, 1, 1, True
0.4192622, -0.8207231, -7.04506, 49.49438, 1, 1, 1, True
0.4302398, -0.9067647, -7.174631, 49.47426, 1, 1, 1, True
0.4419922, -0.9066496, -7.217809, 49.46798, 1, 1, 1, True
0.4516943, -0.9496971, -7.260983, 49.46085, 1, 1, 1, True
0.4622459, -0.9927318, -7.304151, 49.45366, 1, 1, 1, True
0.4736917, -0.9927318, -7.304151, 49.45366, 1, 1, 1, True
0.4844258, -0.9931121, -7.174631, 49.4726, 1, 1, 1, True
0.4948769, -0.9934857, -7.045062, 49.49121, 1, 1, 1, True
0.5042945, -0.9515506, -6.569567, 49.5574, 1, 1, 1, True
0.5148312, -0.9090217, -6.266662, 49.5974, 1, 1, 1, True
0.5262128, -0.6505274, -5.486716, 49.69379, 1, 1, 1, True
0.5333611, -0.3908542, -4.835718, 49.76407, 1, 1, 1, True
0.5379525, 0.304828, -3.139526, 49.90041, 1, 1, 1, True
0.5430434, 0.6974708, -2.137377, 49.94942, 1, 1, 1, True
0.5488399, 0.6974708, -2.137377, 49.94942, 1, 1, 1, True
0.5529715, 1.177708, -1.090744, 49.97423, 1, 1, 1, True
