t, stimulusOn
2.891957, True
2.895702, True
2.89968, True
2.903762, True
2.907724, True
2.912057, True
2.917696, True
2.924287, True
2.932127, True
2.936098, True
2.941264, True
2.947713, True
2.951913, True
2.95786, True
2.963947, False
2.971936, False
2.980085, False
2.983727, False
2.987926, False
2.994711, False
3.000322, False
3.005985, False
3.012018, False
3.020099, False
3.027813, False
3.032197, False
3.036423, False
3.041621, False
3.047916, False
3.052883, False
3.058383, False
3.06554, False
3.072513, False
3.080165, False
3.083743, False
3.08897, False
3.094032, False
3.100742, False
3.107795, False
3.112276, False
3.119952, False
3.126227, False
3.133841, False
3.1399, False
3.143883, False
3.14843, False
3.153915, False
3.160901, False
3.167902, False
3.17238, False
3.179809, False
3.184003, False
3.189682, False
3.196232, False
3.201349, False
3.207732, False
3.212492, False
3.220369, False
3.228263, False
3.232132, False
3.237283, False
3.243888, False
3.248302, False
3.254346, False
3.259988, False
3.266134, False
3.272991, False
3.279916, False
3.283993, False
3.289488, False
3.296269, False
3.300997, False
3.307796, True
3.312735, True
3.320282, True
3.328072, True
3.332314, True
3.337525, True
3.343911, True
3.348536, True
3.354522, True
3.360066, True
3.367977, True
3.376017, True
3.383789, True
3.392459, True
3.395665, True
3.399894, True
3.403821, True
3.407893, False
3.412879, False
3.419828, False
3.426797, False
3.431739, False
3.436355, False
3.44198, False
3.447883, False
3.453085, False
3.458608, False
3.465841, False
3.472172, False
3.477684, False
3.483999, False
3.489094, False
3.496392, False
3.500889, False
3.507014, False
3.512528, False
3.521332, True
3.528075, True
3.531872, True
3.537529, True
3.543967, True
3.548191, True
3.554259, True
3.560126, True
3.56584, True
3.572196, True
3.577609, True
3.583795, True
3.589086, True
3.596229, True
3.600838, True
3.606431, True
3.612764, True
3.633852, False
3.639964, False
3.643622, False
3.647786, False
3.651796, False
3.655658, False
3.659883, False
3.663854, False
3.667739, False
3.671857, False
3.677354, False
3.68388, False
3.687784, False
3.693334, False
3.699794, False
3.705021, False
3.711952, False
3.717665, False
3.724102, False
3.729059, False
3.735853, False
3.741056, False
3.746689, True
3.752188, True
3.757803, True
3.764187, True
3.771962, True
3.776855, True
3.782077, True
3.787948, True
3.794702, True
3.799965, True
3.805905, True
3.812283, True
3.820348, True
3.828026, True
3.836335, True
3.843923, True
3.848039, False
3.851918, False
3.85596, False
3.86042, False
3.865675, False
3.872283, False
3.880029, False
3.884443, False
3.891794, False
3.895806, False
3.900807, False
3.908072, False
3.912473, False
3.920268, False
3.925903, False
3.932082, False
3.936319, False
3.943145, False
3.948604, False
3.956128, False
3.964112, False
3.972447, False
3.980226, False
3.983826, False
3.987919, False
3.992332, False
3.995918, False
4.00135, False
4.006508, False
4.01263, False
4.020408, False
4.028215, False
4.031748, False
4.036048, False
4.042234, False
4.049905, True
4.055849, True
4.059806, True
4.065512, True
4.071951, True
4.076945, True
4.082594, True
4.08824, True
4.09501, True
4.100038, True
4.105725, True
4.112443, True
4.117761, True
4.12438, True
4.129417, True
4.136008, True
4.141632, True
4.148171, True
4.152318, False
4.157915, False
4.164238, False
4.17211, False
4.176635, False
4.18215, False
4.187958, False
4.194772, False
4.199846, False
4.205473, False
4.212149, False
4.216638, False
4.224642, False
4.232066, False
4.236056, False
4.241636, False
4.24796, False
4.252103, False
4.258174, False
4.264024, False
4.272341, False
4.280268, False
4.283714, False
4.287722, False
4.29442, False
4.300291, False
4.305685, False
4.311879, False
4.316351, False
4.324289, False
4.328501, False
4.337461, False
4.344077, False
4.347733, False
4.352224, False
4.357689, False
4.383925, False
4.3917, False
4.395916, False
4.399942, False
4.403883, False
4.40812, False
4.411855, False
4.415877, False
4.419981, False
4.426297, False
4.431811, False
4.435765, False
4.440064, False
4.445984, False
4.452116, False
4.456822, False
4.464423, False
4.471823, False
4.476047, False
4.480286, False
4.485957, False
4.492126, False
4.497612, False
4.50373, False
4.509017, False
4.515862, False
4.519953, False
4.526554, False
4.533186, False
4.538282, False
4.545024, False
4.552509, True
4.556427, True
4.562694, True
4.569914, True
4.576317, True
4.582264, True
4.588052, True
4.595506, True
4.600822, True
4.606775, True
4.613606, True
4.620106, True
4.626349, True
4.633538, True
4.639994, True
4.645425, True
4.651947, False
4.656695, False
4.664041, False
4.669924, False
4.676458, False
4.684008, False
4.688484, False
4.695842, False
4.701319, False
4.707748, False
4.714075, False
4.720525, False
4.728306, False
4.733539, False
4.739964, False
4.745717, False
4.751823, False
4.75754, False
4.764197, False
4.771904, False
4.780023, True
4.788257, True
4.791905, True
4.796097, True
4.800417, True
4.806372, True
4.813865, True
4.819811, True
4.826294, True
4.832146, True
4.839919, True
4.843928, True
4.849691, True
4.855922, True
4.861633, True
4.868802, True
4.876168, True
4.881243, False
4.888111, False
4.893655, False
4.899854, False
4.905812, False
4.913037, False
4.920199, False
4.92823, False
4.932589, False
4.93991, False
4.944132, False
4.950923, True
4.956171, True
4.962245, True
4.969019, True
4.976031, True
4.981682, True
4.987844, True
4.995048, True
5.000512, True
5.006597, True
5.012401, True
