t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4631476, x -0.08532766, y -10.48093, z 48.88909, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4669512, x -0.08532766, y -10.48093, z 48.88909, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4711183, x -0.08532766, y -10.48093, z 48.88909, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4749177, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4788276, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4829822, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4867087, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4910158, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4950202, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4989557, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5029287, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5068167, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5110692, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5149574, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5189686, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5230575, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5269315, x -0.0853436, y -10.43826, z 48.89822, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5310711, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5349904, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5389853, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5428686, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5470244, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5509876, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5548725, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5587889, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5630769, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5669255, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5709546, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5749685, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5788977, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5829992, x -0.08535947, y -10.39558, z 48.90731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.586979, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5909074, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5949147, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5989279, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6029931, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6067489, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6108398, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.614997, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6190818, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6229699, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6269283, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6309541, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6350324, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6387182, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.642904, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6469641, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6509864, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6549728, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6588686, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6630153, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6669419, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6712402, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.675381, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6787227, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6831204, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6869177, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6909409, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.694912, x -0.08537526, y -10.3529, z 48.91636, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.698846, x -0.1280628, y -10.3529, z 48.91627, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7030905, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7069742, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7107505, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7151293, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7189291, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7228023, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7269896, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7309274, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7349417, x -0.1707502, y -10.3529, z 48.91613, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7388876, x -0.1707817, y -10.31021, z 48.92515, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7430046, x -0.170813, y -10.26751, z 48.93413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7467874, x -0.170813, y -10.26751, z 48.93413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7510682, x -0.170813, y -10.26751, z 48.93413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.755051, x -0.170813, y -10.26751, z 48.93413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7588423, x -0.170813, y -10.26751, z 48.93413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.762736, x -0.170813, y -10.26751, z 48.93413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7670555, x -0.2135161, y -10.26751, z 48.93396, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7707682, x -0.2135161, y -10.26751, z 48.93396, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7748985, x -0.2135551, y -10.2248, z 48.94291, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7788481, x -0.2135939, y -10.18208, z 48.95181, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7830152, x -0.2136327, y -10.13936, z 48.96067, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7868431, x -0.2136327, y -10.13936, z 48.96067, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7910728, x -0.2136711, y -10.09663, z 48.96951, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7949638, x -0.2136711, y -10.09663, z 48.96951, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7989795, x -0.2564511, y -10.05389, z 48.97809, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8030285, x -0.2564511, y -10.05389, z 48.97809, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8069806, x -0.2565426, y -9.968394, z 48.99556, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8108308, x -0.2565426, y -9.968394, z 48.99556, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8150531, x -0.256588, y -9.925633, z 49.00425, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
