t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
13.43358, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.43799, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.44251, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.44905, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.45599, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.46119, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.46504, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.46966, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.47372, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.4782, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.48538, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.48902, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.49299, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.49706, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.50112, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.50558, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.50982, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.51486, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.52134, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.52501, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.52909, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.53309, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
