t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2626112, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2790855, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2869191, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2900428, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.294498, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2979761, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3020968, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3061967, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3099849, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3140905, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3219147, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3259732, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3301388, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3339356, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3396446, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3445166, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3500599, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.354616, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3597972, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3645421, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3703889, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3746362, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3799452, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3846523, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3898914, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3941219, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3986134, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4028647, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4076727, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4123004, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4166599, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4218185, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4260996, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4309179, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4352152, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4391064, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.443579, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4476759, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4517904, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4562361, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4619096, x -0.2118225, y -11.96904, z 48.54583, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
