t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
15.86619, 0, 0, 50, 16.4, 16.4, 16.4, True
15.8703, 0, 0, 50, 16.4, 16.4, 16.4, True
15.87428, 0, 0, 50, 16.4, 16.4, 16.4, True
15.87823, 0, 0, 50, 16.4, 16.4, 16.4, True
15.88218, 0, 0, 50, 16.4, 16.4, 16.4, True
15.88618, 0, 0, 50, 16.4, 16.4, 16.4, True
15.89027, 0, 0, 50, 16.4, 16.4, 16.4, True
15.89418, 0, 0, 50, 16.4, 16.4, 16.4, True
15.89826, 0, 0, 50, 16.4, 16.4, 16.4, True
15.90223, 0, 0, 50, 16.4, 16.4, 16.4, True
15.90623, 0, 0, 50, 16.4, 16.4, 16.4, True
15.91014, 0, 0, 50, 16.4, 16.4, 16.4, True
15.91419, 0, 0, 50, 16.4, 16.4, 16.4, True
15.91825, 0, 0, 50, 16.4, 16.4, 16.4, True
15.92213, 0, 0, 50, 16.4, 16.4, 16.4, True
15.92618, 0, 0, 50, 16.4, 16.4, 16.4, True
15.93017, 0, 0, 50, 16.4, 16.4, 16.4, True
15.93425, 0, 0, 50, 16.4, 16.4, 16.4, True
15.93831, 0, 0, 50, 16.4, 16.4, 16.4, True
15.9422, 0, 0, 50, 16.4, 16.4, 16.4, True
15.9461, 0, 0, 50, 16.4, 16.4, 16.4, True
15.9502, 0, 0, 50, 16.4, 16.4, 16.4, True
15.95425, 0, 0, 50, 16.4, 16.4, 16.4, True
15.95821, 0, 0, 50, 16.4, 16.4, 16.4, True
15.96219, 0, 0, 50, 16.4, 16.4, 16.4, True
15.96699, 0, 0, 50, 16.4, 16.4, 16.4, True
15.97431, 0, 0, 50, 16.4, 16.4, 16.4, True
15.97867, 0, 0, 50, 16.4, 16.4, 16.4, True
16.07064, 0, 0, 50, 16.4, 16.4, 16.4, True
16.07852, 0, 0, 50, 16.4, 16.4, 16.4, True
16.08261, 0, 0, 50, 16.4, 16.4, 16.4, True
16.08612, 0, 0, 50, 16.4, 16.4, 16.4, True
16.09022, 0, 0, 50, 16.4, 16.4, 16.4, True
16.0942, 0, 0, 50, 16.4, 16.4, 16.4, True
16.09818, 0, 0, 50, 16.4, 16.4, 16.4, True
16.10223, 0, 0, 50, 16.4, 16.4, 16.4, True
16.10617, 0, 0, 50, 16.4, 16.4, 16.4, True
16.11007, 0, 0, 50, 16.4, 16.4, 16.4, True
16.11421, 0, 0, 50, 16.4, 16.4, 16.4, True
16.11802, 0, 0, 50, 16.4, 16.4, 16.4, True
16.12219, 0, 0, 50, 16.4, 16.4, 16.4, True
16.12604, 0, 0, 50, 16.4, 16.4, 16.4, True
16.13029, 0, 0, 50, 16.4, 16.4, 16.4, True
16.13817, 0, 0, 50, 16.4, 16.4, 16.4, True
16.14638, 0, 0, 50, 16.4, 16.4, 16.4, True
16.15409, 0, 0, 50, 16.4, 16.4, 16.4, True
16.15821, 0, 0, 50, 16.4, 16.4, 16.4, True
16.16213, 0, 0, 50, 16.4, 16.4, 16.4, True
16.16622, 0, 0, 50, 16.4, 16.4, 16.4, True
16.17026, 0, 0, 50, 16.4, 16.4, 16.4, True
16.1783, 0, 0, 50, 16.4, 16.4, 16.4, True
16.18218, 0, 0, 50, 16.4, 16.4, 16.4, True
16.18617, 0, 0, 50, 16.4, 16.4, 16.4, True
16.19028, 0, 0, 50, 16.4, 16.4, 16.4, True
16.1941, 0, 0, 50, 16.4, 16.4, 16.4, True
16.19826, 0, 0, 50, 16.4, 16.4, 16.4, True
16.20219, 0, 0, 50, 16.4, 16.4, 16.4, True
16.20621, 0, 0, 50, 16.4, 16.4, 16.4, True
16.21014, 0, 0, 50, 16.4, 16.4, 16.4, True
