t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
0.02, -3.420201, 0, 9.396926, 1, 1, 1, 3.420202, 0, -9.396925, 2, 2, 2, False
0.12, -3.420201, 0, 9.396926, 1, 1, 1, 3.623474, -1.175374, -9.246022, 2, 2, 2, False
0.22, -3.623476, -1.175374, 9.246021, 1, 1, 1, 3.623474, -1.175374, -9.246022, 2, 2, 2, False
0.2696211, -3.623476, -1.175374, 9.246021, 1, 1, 1, 3.623098, -1.18404, -9.245061, 2, 2, 2, False
0.2777382, -3.6231, -1.18404, 9.245063, 1, 1, 1, 3.623098, -1.18404, -9.245061, 2, 2, 2, False
0.2869799, -3.6231, -1.18404, 9.245063, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.293667, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.2989378, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.3058062, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.309574, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.3134933, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.319555, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.3263836, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.3339382, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, False
0.3574901, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.3977697, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.4059395, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.409565, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.4136066, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.4174775, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.4214279, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.4256155, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.4305383, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
0.4391558, -3.622722, -1.192704, 9.244098, 1, 1, 1, 3.62272, -1.192704, -9.244097, 2, 2, 2, True
