t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 2021-06-16T10:56:35.3324560+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.12, 2021-06-16T10:56:36.5472820+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.22, 2021-06-16T10:56:37.1561770+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.2877751, 2021-06-16T10:56:37.2236190+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.2950514, 2021-06-16T10:56:37.2308060+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.3017258, 2021-06-16T10:56:37.2375210+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.3071627, 2021-06-16T10:56:37.2429270+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.3110543, 2021-06-16T10:56:37.2468390+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.3252286, 2021-06-16T10:56:37.2612280+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.3427655, 2021-06-16T10:56:37.2785750+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.3585596, 2021-06-16T10:56:37.2943610+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.3732725, 2021-06-16T10:56:37.3090720+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.3894886, 2021-06-16T10:56:37.3253920+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.4041856, 2021-06-16T10:56:37.3399990+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.4182341, 2021-06-16T10:56:37.3540150+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.4316224, 2021-06-16T10:56:37.3674240+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.4455696, 2021-06-16T10:56:37.3816480+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.4591197, 2021-06-16T10:56:37.3949180+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.4719804, 2021-06-16T10:56:37.4077810+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.4841414, 2021-06-16T10:56:37.4199850+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.4965993, 2021-06-16T10:56:37.4323750+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.509132, 2021-06-16T10:56:37.4449620+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.5209359, 2021-06-16T10:56:37.4567380+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.5322093, 2021-06-16T10:56:37.4679810+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.5441997, 2021-06-16T10:56:37.4800440+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.5564218, 2021-06-16T10:56:37.4922480+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.5671009, 2021-06-16T10:56:37.5029000+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.578205, 2021-06-16T10:56:37.5139900+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.5892489, 2021-06-16T10:56:37.5250890+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
0.5993885, 2021-06-16T10:56:37.5351910+08:00, 0, 17.54568, 47.67756, 1, 1, 1, False
