t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
9.65951, 0, 0, 50, 1, 1, 1, True
9.663484, 0, 0, 50, 1, 1, 1, True
9.667495, 0, 0, 50, 1, 1, 1, True
9.671578, 0, 0, 50, 1, 1, 1, True
9.675474, 0, 0, 50, 1, 1, 1, True
9.679556, 0, 0, 50, 1, 1, 1, True
9.68348, 0, 0, 50, 1, 1, 1, True
9.687589, 0, 0, 50, 1, 1, 1, True
9.691478, 0, 0, 50, 1, 1, 1, True
9.695536, 0, 0, 50, 1, 1, 1, True
9.699549, 0, 0, 50, 1, 1, 1, True
9.703566, 0, 0, 50, 1, 1, 1, True
9.707464, 0, 0, 50, 1, 1, 1, True
9.711746, 0, 0, 50, 1, 1, 1, True
9.715626, 0, 0, 50, 1, 1, 1, True
9.719546, 0, 0, 50, 1, 1, 1, True
9.723517, 0, 0, 50, 1, 1, 1, True
9.732111, 0, 0, 50, 1, 1, 1, True
9.735357, 0, 0, 50, 1, 1, 1, True
9.740133, 0, 0, 50, 1, 1, 1, True
9.771586, 0, 0, 50, 1, 1, 1, True
9.784108, 0, 0, 50, 1, 1, 1, True
9.78737, 0, 0, 50, 1, 1, 1, True
9.791596, 0, 0, 50, 1, 1, 1, True
9.799766, 0, 0, 50, 1, 1, 1, True
9.803476, 0, 0, 50, 1, 1, 1, True
9.807523, 0, 0, 50, 1, 1, 1, True
9.811636, 0, 0, 50, 1, 1, 1, True
9.815581, 0, 0, 50, 1, 1, 1, True
9.81949, 0, 0, 50, 1, 1, 1, True
9.823627, 0, 0, 50, 1, 1, 1, True
9.83153, 0, 0, 50, 1, 1, 1, True
9.835488, 0, 0, 50, 1, 1, 1, True
9.839413, 0, 0, 50, 1, 1, 1, True
9.847856, 0, 0, 50, 1, 1, 1, True
9.851349, 0, 0, 50, 1, 1, 1, True
9.855393, 0, 0, 50, 1, 1, 1, True
9.859471, 0, 0, 50, 1, 1, 1, True
9.863407, 0, 0, 50, 1, 1, 1, True
9.867586, 0, 0, 50, 1, 1, 1, True
9.871449, 0, 0, 50, 1, 1, 1, True
9.87545, 0, 0, 50, 1, 1, 1, True
9.879474, 0, 0, 50, 1, 1, 1, True
9.883409, 0, 0, 50, 1, 1, 1, True
9.887575, 0, 0, 50, 1, 1, 1, True
9.891546, 0, 0, 50, 1, 1, 1, True
9.895464, 0, 0, 50, 1, 1, 1, True
9.899462, 0, 0, 50, 1, 1, 1, True
9.903324, 0, 0, 50, 1, 1, 1, True
9.907516, 0, 0, 50, 1, 1, 1, True
9.911407, 0, 0, 50, 1, 1, 1, True
9.915429, 0, 0, 50, 1, 1, 1, True
9.919486, 0, 0, 50, 1, 1, 1, True
