t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
32.83761, 0, 0, 50, 38.6, 38.6, 38.6, True
32.84184, 0, 0, 50, 38.6, 38.6, 38.6, True
32.84587, 0, 0, 50, 38.6, 38.6, 38.6, True
32.84969, 0, 0, 50, 38.6, 38.6, 38.6, True
32.85374, 0, 0, 50, 38.6, 38.6, 38.6, True
32.85775, 0, 0, 50, 38.6, 38.6, 38.6, True
32.8662, 0, 0, 50, 38.6, 38.6, 38.6, True
32.89456, 0, 0, 50, 38.6, 38.6, 38.6, True
32.89778, 0, 0, 50, 38.6, 38.6, 38.6, True
32.90171, 0, 0, 50, 38.6, 38.6, 38.6, True
32.90588, 0, 0, 50, 38.6, 38.6, 38.6, True
32.90968, 0, 0, 50, 38.6, 38.6, 38.6, True
32.91401, 0, 0, 50, 38.6, 38.6, 38.6, True
32.91768, 0, 0, 50, 38.6, 38.6, 38.6, True
32.92186, 0, 0, 50, 38.6, 38.6, 38.6, True
32.92591, 0, 0, 50, 38.6, 38.6, 38.6, True
32.9298, 0, 0, 50, 38.6, 38.6, 38.6, True
32.93363, 0, 0, 50, 38.6, 38.6, 38.6, True
32.93769, 0, 0, 50, 38.6, 38.6, 38.6, True
32.94178, 0, 0, 50, 38.6, 38.6, 38.6, True
32.94599, 0, 0, 50, 38.6, 38.6, 38.6, True
32.94992, 0, 0, 50, 38.6, 38.6, 38.6, True
32.95383, 0, 0, 50, 38.6, 38.6, 38.6, True
32.95959, 0, 0, 50, 38.6, 38.6, 38.6, True
32.96608, 0, 0, 50, 38.6, 38.6, 38.6, True
32.96965, 0, 0, 50, 38.6, 38.6, 38.6, True
32.97382, 0, 0, 50, 38.6, 38.6, 38.6, True
32.97792, 0, 0, 50, 38.6, 38.6, 38.6, True
32.98244, 0, 0, 50, 38.6, 38.6, 38.6, True
32.98716, 0, 0, 50, 38.6, 38.6, 38.6, True
32.99461, 0, 0, 50, 38.6, 38.6, 38.6, True
32.99764, 0, 0, 50, 38.6, 38.6, 38.6, True
33.00236, 0, 0, 50, 38.6, 38.6, 38.6, True
33.00577, 0, -0.04363323, 49.99998, 38.6, 38.6, 38.6, True
33.00985, 0, -0.04363324, 49.99998, 38.6, 38.6, 38.6, True
33.01374, 0, -0.04363324, 49.99998, 38.6, 38.6, 38.6, True
33.01799, 0, -0.04363325, 49.99998, 38.6, 38.6, 38.6, True
33.0458, 0, -0.04363325, 49.99998, 38.6, 38.6, 38.6, True
33.04968, 0, -0.04363326, 49.99998, 38.6, 38.6, 38.6, True
33.0537, 0, -0.04363327, 49.99998, 38.6, 38.6, 38.6, True
33.05777, 0, -0.04363327, 49.99998, 38.6, 38.6, 38.6, True
33.06173, 0, -0.04363328, 49.99998, 38.6, 38.6, 38.6, True
33.06572, 0, -0.04363329, 49.99998, 38.6, 38.6, 38.6, True
33.0698, 0, -0.04363329, 49.99998, 38.6, 38.6, 38.6, True
33.07415, 0, -0.0436333, 49.99998, 38.6, 38.6, 38.6, True
33.07774, 0, -0.0436333, 49.99998, 38.6, 38.6, 38.6, True
33.08248, 0, -0.04363331, 49.99998, 38.6, 38.6, 38.6, True
33.09096, 0, -0.04363332, 49.99998, 38.6, 38.6, 38.6, True
33.10567, 0, -0.04363332, 49.99998, 38.6, 38.6, 38.6, True
33.1097, 0, -0.04363333, 49.99998, 39.9, 39.9, 39.9, True
33.11379, 0, -0.04363333, 49.99998, 39.9, 39.9, 39.9, True
33.11769, 0, -0.04363334, 49.99998, 39.9, 39.9, 39.9, True
33.12189, 0, -0.04363335, 49.99998, 39.9, 39.9, 39.9, True
33.12577, 0, -0.04363335, 49.99998, 39.9, 39.9, 39.9, True
33.12977, 0, -0.04363336, 49.99998, 39.9, 39.9, 39.9, True
33.13373, 0, -0.04363336, 49.99998, 39.9, 39.9, 39.9, True
33.13787, 0, -0.04363337, 49.99998, 39.9, 39.9, 39.9, True
33.1417, 0, -0.04363338, 49.99998, 39.9, 39.9, 39.9, True
33.14569, 0, -0.04363338, 49.99998, 39.9, 39.9, 39.9, True
33.14974, 0, -0.04363339, 49.99998, 39.9, 39.9, 39.9, True
33.15371, 0, -0.04363339, 49.99998, 39.9, 39.9, 39.9, True
33.1578, 0, -0.0436334, 49.99998, 39.9, 39.9, 39.9, True
