t 8.294973, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.299006, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.303128, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.307016, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.310884, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.315056, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.318954, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.323058, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.327047, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.331267, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.335025, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.339121, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.343183, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.347041, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.351007, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.354847, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.358962, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.362903, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.366865, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.371099, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.375121, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.379142, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.383686, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.386974, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.453968, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.459329, x 0.08726642, y 0, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.466951, x 0.08726642, y 0, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.471139, x 0.2617982, y 0, z 49.99931, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.475038, x 0.392695, y 0, z 49.99846, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.481484, x 0.392695, y 0, z 49.99846, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.487235, x 0.6108491, y -0.08726642, z 49.99619, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.49104, x 1.090703, y -0.4363268, z 49.9862, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.495114, x 1.090703, y -0.4363268, z 49.9862, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.499023, x 1.744682, y -0.9162465, z 49.96115, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.503031, x 1.744682, y -0.9162465, z 49.96115, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.507094, x 2.354346, y -1.439698, z 49.92379, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.510962, x 2.354346, y -1.439698, z 49.92379, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.514994, x 3.049749, y -2.093783, z 49.86296, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.518991, x 3.049749, y -2.093783, z 49.86296, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.522816, x 3.830156, y -2.747509, z 49.77731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.527016, x 3.830156, y -2.747509, z 49.77731, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.530953, x 4.650332, y -3.531349, z 49.65787, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.535173, x 4.650332, y -3.531349, z 49.65787, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.53911, x 5.595432, y -4.357787, z 49.49445, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.543086, x 5.595432, y -4.357787, z 49.49445, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.547027, x 6.447532, y -5.226424, z 49.30633, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.551001, x 6.447532, y -5.226424, z 49.30633, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.555113, x 7.291764, y -6.136773, z 49.0833, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.559216, x 7.291764, y -6.136773, z 49.0833, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.562873, x 8.169034, y -7.088258, z 48.81622, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.56694, x 8.169034, y -7.088258, z 48.81622, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.570981, x 8.948383, y -8.123248, z 48.51741, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.57532, x 8.948383, y -8.123248, z 48.51741, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.578988, x 9.633249, y -9.111776, z 48.20971, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.585333, x 9.633249, y -9.111776, z 48.20971, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.629209, x 10.22138, y -10.13936, z 47.88232, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.665361, x 10.71273, y -11.20503, z 47.53614, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.670891, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.674953, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.680077, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.683285, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.686981, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.691101, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.695077, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.698966, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.702915, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.707108, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.710847, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.736166, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.738856, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.742918, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.746863, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.75101, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.75505, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.758885, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.762864, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.766859, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.771077, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.775105, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.778833, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.783184, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.786965, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.790866, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.795237, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.799033, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.802781, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.807014, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.810835, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.815099, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.819037, x 11.0832, y -12.0114, z 47.25346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
